,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,2092708074,462,28,273.0,7,0,256.0,9,2,329.0,9,0,389.0,9,1
1,1228431293,462,28,280.0,17,0,292.0,16,0,292.0,16,0,292.0,16,0
2,483039202,462,28,270.0,12,0,276.0,17,2,321.0,16,0,256.0,18,1
3,1643107765,462,28,261.0,12,0,262.0,9,3,265.0,9,0,276.0,9,2
4,-1383298634,462,28,262.0,23,0,262.0,13,4,263.0,13,0,481.0,11,3
5,-31278821,462,28,264.0,19,0,282.0,7,1,331.0,6,0,316.0,6,1
6,-1781510201,462,28,318.0,13,0,260.0,18,4,246.0,20,0,311.0,20,5
7,-1671909301,462,28,265.0,14,0,227.0,18,1,257.0,19,0,273.0,19,2
8,-1964117703,462,28,479.0,10,0,254.0,9,1,276.0,9,0,276.0,9,0
9,1576829259,462,28,500.0,13,0,259.0,6,0,259.0,6,0,259.0,6,0
10,822232228,462,28,496.0,11,0,372.0,10,1,266.0,7,0,564.0,10,2
11,-444923454,462,28,507.0,11,0,573.0,14,4,315.0,16,0,338.0,14,5
12,-529101470,462,28,272.0,17,0,282.0,20,2,268.0,20,0,374.0,16,3
13,-1201431153,462,28,296.0,11,0,260.0,25,2,289.0,23,0,259.0,25,2
14,-1879261217,462,28,312.0,13,0,269.0,15,1,259.0,19,0,275.0,17,2
15,-1494261314,462,28,277.0,20,0,278.0,13,1,377.0,13,0,246.0,13,1
16,1656807153,462,28,362.0,22,0,258.0,11,2,291.0,15,0,280.0,16,3
17,698457066,462,28,257.0,16,0,290.0,13,2,268.0,11,0,257.0,11,1
18,-802720335,462,28,351.0,9,0,379.0,16,1,265.0,18,0,273.0,17,1
19,1121706712,462,28,317.0,11,0,267.0,12,1,239.0,13,0,256.0,14,2
20,914414315,462,28,262.0,17,0,259.0,9,2,266.0,9,0,260.0,7,4
21,-1144478521,462,28,278.0,15,0,265.0,8,3,253.0,8,0,259.0,11,2
22,2042058611,462,28,253.0,18,0,296.0,11,7,314.0,11,0,239.0,12,4
23,1094963218,462,28,376.0,12,0,280.0,6,1,313.0,8,0,278.0,7,1
24,1340049169,462,28,261.0,12,0,236.0,15,0,236.0,15,0,236.0,15,0
25,1869730993,462,28,261.0,8,0,279.0,15,1,253.0,12,0,270.0,12,1
26,887645246,462,28,325.0,14,0,355.0,14,2,380.0,16,0,289.0,15,2
27,249645939,462,28,274.0,10,0,557.0,12,2,272.0,15,0,320.0,15,2
28,382604334,462,28,384.0,9,0,283.0,10,2,270.0,13,0,311.0,13,2
29,-283382708,462,28,375.0,13,0,293.0,13,1,294.0,13,0,254.0,16,1
30,-786759350,462,28,270.0,18,0,291.0,12,3,267.0,13,0,264.0,13,3
31,234007500,462,28,284.0,15,0,243.0,15,1,378.0,20,0,284.0,17,1
32,-869283122,462,28,268.0,9,0,291.0,11,2,376.0,8,0,285.0,11,3
33,-1543879115,462,28,384.0,18,0,261.0,4,2,298.0,5,0,574.0,4,1
34,-2007959187,462,28,325.0,10,0,319.0,16,0,319.0,16,0,319.0,16,0
35,395480105,462,28,266.0,13,0,265.0,9,3,256.0,12,0,258.0,11,3
36,-659254956,462,28,256.0,15,0,579.0,7,3,267.0,10,0,320.0,8,2
37,-896442744,462,28,379.0,13,0,256.0,16,0,256.0,16,0,256.0,16,0
38,1764796639,462,28,256.0,11,0,252.0,18,1,251.0,17,0,277.0,17,1
39,498920350,462,28,257.0,18,0,254.0,28,2,286.0,21,0,362.0,24,3
40,344863736,462,28,500.0,14,0,268.0,14,3,433.0,14,0,348.0,16,1
41,-780374356,462,28,280.0,6,0,349.0,13,1,259.0,14,0,256.0,13,1
42,-524196788,462,28,260.0,11,0,321.0,9,3,272.0,7,0,282.0,10,2
43,418018235,462,28,398.0,6,0,256.0,11,3,331.0,11,0,385.0,12,6
44,39774923,462,28,270.0,16,0,231.0,16,2,266.0,15,0,316.0,16,2
45,-1853879721,462,28,299.0,16,0,253.0,12,3,314.0,14,0,263.0,14,2
46,231722128,462,28,320.0,14,0,217.0,20,3,315.0,16,0,260.0,16,2
47,-673933987,462,28,267.0,14,0,575.0,9,1,231.0,10,0,235.0,7,4
48,-185123219,462,28,493.0,16,0,264.0,21,7,264.0,18,0,256.0,21,5
49,1093433250,462,28,269.0,16,0,222.0,17,1,361.0,18,0,327.0,15,2
