,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1138542010,469,38,1,696.0,7,0,257.0,20,1,319.0,18,0,336.0,18,1
1,707450826,256,6,1,311.0,7,0,284.0,8,0,284.0,8,0,284.0,8,0
2,949383115,212,7,1,254.0,7,0,259.0,7,1,256.0,5,0,317.0,8,1
3,1906270047,623,63,1,524.0,19,0,270.0,12,3,351.0,10,0,395.0,14,3
4,2064590753,553,12,1,329.0,23,0,318.0,14,0,318.0,14,0,318.0,14,0
5,1163247668,549,33,1,501.0,14,0,319.0,14,10,268.0,13,0,284.0,13,8
6,1150600556,656,60,1,319.0,20,0,303.0,24,7,600.0,18,0,307.0,22,7
7,164647134,448,41,1,369.0,12,0,293.0,10,3,315.0,12,0,395.0,12,3
8,-51312394,334,27,1,480.0,13,0,287.0,8,0,287.0,8,0,287.0,8,0
9,1109819148,409,29,1,261.0,4,0,377.0,12,3,357.0,14,0,335.0,12,3
10,-1516723371,287,9,1,260.0,13,0,256.0,10,0,256.0,10,0,256.0,10,0
11,-1917387805,218,16,1,264.0,3,0,259.0,4,0,259.0,4,0,259.0,4,0
12,1043438031,198,18,1,257.0,2,0,256.0,5,0,256.0,5,0,256.0,5,0
13,-365512656,610,55,1,287.0,16,0,382.0,15,7,323.0,12,0,322.0,14,8
14,-29924077,177,2,1,217.0,5,0,274.0,4,0,274.0,4,0,274.0,4,0
15,-1049844884,232,19,1,498.0,10,0,257.0,11,2,307.0,11,0,357.0,11,0
16,613894875,237,5,1,375.0,6,0,261.0,7,0,261.0,7,0,261.0,7,0
17,-1035054911,581,18,1,271.0,9,0,300.0,21,1,312.0,20,0,318.0,22,1
18,854186428,599,36,1,333.0,10,0,302.0,18,2,272.0,19,0,256.0,20,2
19,-321181916,586,47,1,540.0,17,0,456.0,15,5,276.0,14,0,308.0,15,5
20,-1875293680,423,43,1,263.0,14,0,333.0,13,1,456.0,15,0,349.0,12,1
21,-806958989,693,42,1,292.0,24,0,382.0,21,4,337.0,27,0,511.0,27,8
22,1248133188,608,49,1,557.0,17,0,328.0,19,7,353.0,28,0,336.0,18,8
23,2136101527,157,11,1,481.0,5,0,315.0,5,0,315.0,5,0,315.0,5,0
24,2051098508,571,52,1,398.0,13,0,302.0,15,5,685.0,16,0,324.0,14,8
25,2082690072,698,70,1,285.0,19,0,473.0,18,11,299.0,20,0,406.0,21,13
26,-792532471,586,24,1,374.0,13,0,373.0,10,8,360.0,19,0,626.0,12,3
27,-740608148,529,27,1,485.0,14,0,440.0,24,4,261.0,28,0,329.0,26,6
28,150420074,553,6,1,300.0,5,0,367.0,29,5,336.0,30,0,256.0,32,6
29,163428936,189,8,1,264.0,6,0,253.0,8,0,253.0,8,0,253.0,8,0
30,-1350301474,283,23,1,380.0,12,0,267.0,6,0,267.0,6,0,267.0,6,0
31,2097015303,461,28,1,439.0,14,0,302.0,20,3,265.0,19,0,326.0,20,2
32,-1543487308,511,11,1,689.0,13,0,261.0,11,1,534.0,17,0,438.0,13,2
33,1806516371,643,33,1,298.0,14,0,220.0,21,7,316.0,21,0,291.0,24,6
34,-1220030656,447,14,1,268.0,18,0,317.0,8,1,284.0,8,0,319.0,8,2
35,-571104190,457,42,1,311.0,20,0,333.0,10,4,263.0,11,0,330.0,12,2
36,-1640358986,343,4,1,640.0,6,0,260.0,13,3,315.0,13,0,266.0,12,1
37,-925624645,688,14,1,318.0,16,0,326.0,15,14,279.0,9,0,265.0,9,7
38,-884324347,198,20,1,676.0,3,0,288.0,11,1,268.0,9,0,315.0,10,1
39,-1827060704,245,5,1,264.0,11,0,314.0,9,1,286.0,11,0,386.0,10,1
40,763050712,457,5,1,498.0,11,0,316.0,11,3,251.0,10,0,265.0,11,1
41,-1265064202,233,7,1,316.0,8,0,225.0,8,1,414.0,8,0,408.0,10,1
42,1227203163,187,15,1,255.0,2,0,327.0,8,0,327.0,8,0,327.0,8,0
43,48211712,536,33,1,289.0,13,0,399.0,12,3,349.0,14,0,265.0,11,2
44,1017507494,531,38,1,268.0,19,0,317.0,13,5,380.0,15,0,341.0,16,3
45,293575748,485,5,1,613.0,26,0,676.0,19,0,676.0,19,0,676.0,19,0
46,560205543,169,12,1,260.0,6,0,318.0,11,0,318.0,11,0,318.0,11,0
47,1677507439,533,27,1,270.0,22,0,471.0,13,8,389.0,14,0,268.0,13,3
48,1784037294,644,33,1,543.0,17,0,312.0,18,10,865.0,17,0,300.0,17,11
49,10393034,485,39,1,327.0,10,0,272.0,17,1,322.0,14,0,265.0,18,1
