,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-630623462,321.0,9,0,257.0,8,2,265.0,8,0,268.0,11,2
1,1623930378,274.0,11,0,257.0,19,0,257.0,19,0,257.0,19,0
2,-1183084243,268.0,18,0,240.0,13,4,260.0,13,0,254.0,14,1
3,-2007339449,257.0,13,0,322.0,21,1,288.0,22,0,273.0,20,0
4,483080308,266.0,9,0,382.0,10,3,266.0,10,0,275.0,10,3
5,1206733037,259.0,12,0,312.0,8,3,276.0,9,0,268.0,9,3
6,-1611203125,244.0,17,0,257.0,19,3,346.0,18,0,323.0,16,1
7,-1655263188,358.0,18,0,255.0,11,0,255.0,11,0,255.0,11,0
8,1907221938,270.0,11,0,303.0,10,0,303.0,10,0,303.0,10,0
9,-456495451,254.0,16,0,268.0,8,0,268.0,8,0,268.0,8,0
10,-1101669536,377.0,12,0,321.0,18,2,267.0,15,0,304.0,17,2
11,1993619298,356.0,16,0,258.0,16,1,266.0,14,0,281.0,14,3
12,1642560484,254.0,17,0,345.0,17,2,259.0,18,0,462.0,18,1
13,775833268,329.0,8,0,256.0,18,2,253.0,16,0,333.0,17,2
14,-1727104647,495.0,18,0,277.0,15,2,322.0,14,0,255.0,13,3
15,-902479309,255.0,14,0,250.0,25,1,440.0,24,0,441.0,24,1
16,365259741,261.0,11,0,313.0,13,2,294.0,10,0,289.0,11,1
17,-740464187,373.0,11,0,258.0,20,0,258.0,20,0,258.0,20,0
18,-706630209,257.0,8,0,271.0,31,0,271.0,31,0,271.0,31,0
19,-1659401072,293.0,13,0,320.0,15,3,254.0,16,0,276.0,17,1
20,322064016,261.0,21,0,268.0,7,2,271.0,5,0,264.0,6,2
21,1017900437,319.0,12,0,368.0,12,1,452.0,12,0,278.0,12,1
22,-176642837,266.0,12,0,313.0,22,1,273.0,20,0,437.0,21,1
23,1164699153,260.0,10,0,239.0,14,1,208.0,17,0,225.0,14,1
24,338762922,419.0,11,0,260.0,15,2,274.0,16,0,328.0,16,2
25,-332064223,301.0,17,0,328.0,15,1,313.0,11,0,266.0,12,1
26,-251767516,274.0,20,0,391.0,12,2,374.0,11,0,391.0,11,1
27,-1259197801,268.0,7,0,297.0,8,2,259.0,10,0,256.0,9,2
28,-1839587117,319.0,20,0,261.0,9,2,269.0,9,0,238.0,10,2
29,-1528213549,278.0,14,0,439.0,10,0,439.0,10,0,439.0,10,0
30,938464433,251.0,11,0,272.0,3,4,210.0,5,0,263.0,2,0
31,917938975,519.0,12,0,306.0,11,2,211.0,12,0,262.0,11,1
32,1742972322,344.0,17,0,293.0,12,0,293.0,12,0,293.0,12,0
33,-1716584681,261.0,9,0,287.0,11,1,266.0,12,0,257.0,10,2
34,-621820687,264.0,16,0,267.0,19,2,264.0,20,0,268.0,21,3
35,-431301615,290.0,18,0,316.0,13,3,263.0,14,0,342.0,14,3
36,-1846856002,266.0,9,0,256.0,11,0,256.0,11,0,256.0,11,0
37,-297481535,266.0,6,0,316.0,22,1,313.0,22,0,326.0,22,1
38,2034097743,502.0,25,0,261.0,11,1,216.0,12,0,265.0,12,0
