,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1000551266,254.0,14,0,253.0,8,1,275.0,6,0,311.0,7,2
1,-1085717647,291.0,13,0,335.0,15,1,497.0,15,0,288.0,15,2
2,-4902015,378.0,15,0,271.0,10,0,271.0,10,0,271.0,10,0
3,-2132412512,272.0,8,0,314.0,19,0,314.0,19,0,314.0,19,0
4,-2018172291,257.0,9,0,257.0,13,2,313.0,11,0,257.0,15,1
5,1439113041,381.0,4,0,280.0,14,0,280.0,14,0,280.0,14,0
6,1464887323,315.0,17,0,243.0,8,0,243.0,8,0,243.0,8,0
7,-1171785946,260.0,18,0,270.0,12,2,380.0,13,0,255.0,12,1
8,2134178792,267.0,13,0,318.0,13,1,340.0,10,0,310.0,11,2
9,1829956767,333.0,19,0,249.0,21,1,302.0,20,0,302.0,19,3
10,1956349446,261.0,17,0,228.0,14,3,260.0,14,0,285.0,15,3
11,1587752483,259.0,16,0,336.0,11,1,392.0,11,0,216.0,14,1
12,134316261,382.0,8,0,308.0,12,2,291.0,13,0,411.0,12,1
13,1167561653,305.0,15,0,261.0,17,1,301.0,18,0,266.0,21,1
14,469057942,225.0,13,0,279.0,10,4,255.0,13,0,378.0,11,2
15,1244466903,344.0,10,0,279.0,12,2,378.0,12,0,257.0,11,3
16,2146133301,267.0,12,0,262.0,13,2,266.0,12,0,277.0,16,3
17,-1144388321,274.0,21,0,261.0,20,3,268.0,18,0,260.0,23,1
18,-1603338083,283.0,24,0,434.0,17,1,271.0,16,0,289.0,16,0
19,-803893463,272.0,11,0,302.0,17,3,331.0,15,0,424.0,17,3
20,-2103305919,310.0,10,0,258.0,20,2,275.0,20,0,253.0,20,2
21,-142482620,329.0,13,0,273.0,7,4,243.0,9,0,264.0,12,1
22,-1802267476,273.0,18,0,254.0,15,1,271.0,16,0,255.0,15,1
23,-1552201398,273.0,10,0,267.0,10,0,267.0,10,0,267.0,10,0
24,827621188,406.0,16,0,311.0,11,1,440.0,10,0,358.0,10,1
25,-949674647,256.0,13,0,325.0,13,2,263.0,15,0,383.0,14,1
26,-1193333182,267.0,16,0,214.0,12,2,265.0,12,0,258.0,12,2
27,1395582261,296.0,15,0,255.0,16,0,255.0,16,0,255.0,16,0
28,223533787,361.0,13,0,342.0,16,2,347.0,15,0,259.0,14,1
29,-1223889056,263.0,17,0,264.0,12,1,272.0,11,0,261.0,10,1
30,1438994610,500.0,14,0,257.0,17,2,257.0,18,0,312.0,18,2
31,-1180665445,313.0,16,0,297.0,21,2,251.0,24,0,335.0,22,1
32,-1954295869,284.0,8,0,215.0,19,0,215.0,19,0,215.0,19,0
33,-2032150122,393.0,19,0,276.0,6,4,237.0,7,0,266.0,8,3
34,-1942061704,277.0,10,0,255.0,10,4,283.0,10,0,318.0,10,4
35,1312765744,301.0,10,0,257.0,16,3,263.0,13,0,316.0,16,1
36,-1866148483,341.0,16,0,319.0,14,1,261.0,16,0,320.0,16,1
37,903105232,313.0,14,0,307.0,13,0,307.0,13,0,307.0,13,0
38,925461932,257.0,16,0,258.0,9,2,312.0,10,0,258.0,9,2
39,-1230330941,329.0,13,0,356.0,11,4,378.0,13,0,222.0,13,1
40,1106275032,282.0,16,0,255.0,15,4,244.0,13,0,317.0,13,2
41,1339396135,329.0,31,0,229.0,20,1,315.0,21,0,276.0,25,3
42,-1765735112,267.0,10,0,307.0,7,2,253.0,12,0,221.0,7,0
43,-919429645,267.0,11,0,261.0,13,0,261.0,13,0,261.0,13,0
44,1961172974,253.0,12,0,238.0,8,2,268.0,8,0,258.0,7,2
