,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-292912736,259.0,17,0,262.0,14,2,262.0,13,0,252.0,16,2
1,1481618484,387.0,12,0,374.0,14,1,263.0,12,0,327.0,13,1
2,1029317282,311.0,7,0,306.0,5,2,264.0,7,0,224.0,7,2
3,-819774495,324.0,15,0,339.0,7,1,318.0,8,0,321.0,6,2
4,-535792582,270.0,10,0,221.0,8,4,260.0,11,0,256.0,9,5
5,1504331723,260.0,10,0,215.0,8,6,271.0,7,0,266.0,8,2
6,-95230300,297.0,11,0,278.0,20,2,276.0,21,0,312.0,26,2
7,1639435223,350.0,11,0,354.0,17,1,309.0,16,0,263.0,17,0
8,1950376346,267.0,17,0,378.0,20,2,275.0,13,0,375.0,17,1
9,1126243729,314.0,9,0,380.0,14,1,298.0,12,0,317.0,10,2
10,-1533037045,441.0,7,0,315.0,10,2,286.0,8,0,280.0,10,1
11,-552555931,256.0,18,0,215.0,12,0,215.0,12,0,215.0,12,0
12,568399050,358.0,14,0,331.0,10,3,373.0,9,0,343.0,10,0
13,791638676,262.0,14,0,226.0,15,2,251.0,19,0,255.0,19,1
14,-1536317281,320.0,13,0,348.0,22,2,258.0,17,0,263.0,19,1
15,785973569,278.0,11,0,258.0,9,1,347.0,11,0,365.0,9,1
16,1437203712,289.0,9,0,268.0,7,2,312.0,6,0,258.0,7,2
17,-1835938376,279.0,14,0,218.0,4,1,374.0,6,0,318.0,5,1
18,1514459244,256.0,16,0,254.0,15,3,216.0,18,0,313.0,17,1
19,1408440375,495.0,15,0,293.0,15,3,251.0,15,0,315.0,17,0
20,-1414592766,263.0,10,0,297.0,9,2,267.0,12,0,255.0,10,2
21,64489210,383.0,10,0,276.0,18,3,462.0,15,0,253.0,16,1
22,-108246605,260.0,22,0,315.0,15,1,262.0,12,0,231.0,12,0
23,-113416718,294.0,22,0,262.0,12,1,252.0,13,0,257.0,12,1
24,-1372670409,496.0,8,0,223.0,13,2,269.0,14,0,267.0,12,2
25,-373372091,259.0,16,0,347.0,10,4,255.0,17,0,281.0,10,0
26,-1680331247,266.0,18,0,225.0,16,1,372.0,15,0,267.0,17,1
27,1904349784,328.0,23,0,292.0,6,1,325.0,7,0,296.0,6,2
28,-927478438,334.0,12,0,263.0,7,1,285.0,7,0,261.0,6,0
29,1271409838,256.0,14,0,253.0,15,1,266.0,12,0,219.0,13,2
30,-989472807,282.0,9,0,256.0,12,0,256.0,12,0,256.0,12,0
31,-1445028478,425.0,18,0,331.0,9,4,324.0,10,0,312.0,9,1
32,-384145544,312.0,13,0,278.0,12,3,268.0,12,0,377.0,10,1
33,-1816839161,258.0,18,0,213.0,5,2,320.0,9,0,316.0,8,2
34,1366298636,491.0,10,0,252.0,7,5,207.0,8,0,279.0,8,4
35,465601464,491.0,10,0,279.0,17,2,269.0,16,0,259.0,18,0
36,-806174611,330.0,17,0,253.0,18,0,253.0,18,0,253.0,18,0
37,-1010314393,263.0,7,0,314.0,17,4,218.0,15,0,259.0,15,1
38,-1947511665,325.0,16,0,347.0,9,2,252.0,10,0,256.0,9,2
39,359120756,504.0,8,0,373.0,12,2,301.0,13,0,324.0,14,1
40,191231390,333.0,11,0,274.0,16,4,271.0,13,0,262.0,13,2
41,2012779633,498.0,8,0,264.0,16,1,218.0,15,0,288.0,20,1
42,-696144729,315.0,10,0,444.0,12,2,259.0,10,0,382.0,14,1
43,-2099000452,496.0,13,0,278.0,23,1,332.0,23,0,332.0,23,0
44,1467943757,508.0,13,0,266.0,13,2,278.0,10,0,257.0,14,2
45,-268119078,339.0,18,0,255.0,5,5,252.0,6,0,257.0,5,1
46,-1132347163,266.0,14,0,256.0,19,2,275.0,16,0,262.0,18,3
47,1610570887,752.0,9,0,261.0,17,2,279.0,23,0,215.0,20,2
48,-1627795061,264.0,18,0,275.0,12,2,268.0,12,0,255.0,15,2
49,1710948366,310.0,10,0,270.0,9,4,332.0,7,0,416.0,6,2
50,-1538540349,267.0,10,0,266.0,14,3,436.0,12,0,228.0,12,3
51,-1389409554,314.0,10,0,326.0,14,3,222.0,12,0,257.0,12,2
52,-902787334,334.0,24,0,317.0,16,3,253.0,8,0,327.0,13,1
53,217560901,296.0,14,0,251.0,23,1,267.0,20,0,399.0,19,1
54,810378766,260.0,7,0,261.0,7,1,297.0,7,0,277.0,6,1
55,247390868,492.0,19,0,284.0,9,4,405.0,7,0,264.0,8,2
56,779842304,270.0,16,0,270.0,17,2,266.0,20,0,213.0,17,1
57,25989194,277.0,8,0,264.0,10,3,317.0,8,0,265.0,9,2
58,-1882233562,302.0,8,0,210.0,10,4,253.0,9,0,269.0,10,1
59,1449039357,265.0,18,0,321.0,21,2,262.0,21,0,272.0,22,1
60,-264527062,264.0,10,0,373.0,12,1,317.0,13,0,309.0,13,1
61,-1586222465,225.0,18,0,259.0,12,2,269.0,10,0,320.0,10,2
62,1396739192,276.0,13,0,260.0,7,2,377.0,7,0,249.0,9,0
63,-1586807470,273.0,17,0,379.0,14,3,305.0,12,0,268.0,13,3
64,-1949253768,313.0,7,0,293.0,8,1,313.0,9,0,386.0,9,1
65,-146287854,273.0,20,0,232.0,30,1,256.0,31,0,258.0,26,0
66,-314147750,316.0,26,0,312.0,12,1,263.0,12,0,285.0,12,1
67,-878243404,319.0,29,0,261.0,9,2,288.0,9,0,285.0,9,1
68,-997133898,273.0,16,0,362.0,19,1,259.0,15,0,309.0,13,1
69,-1759267528,278.0,10,0,298.0,18,1,265.0,16,0,317.0,17,1
70,-1150110467,285.0,5,0,259.0,9,2,297.0,9,0,306.0,9,3
71,-1577440266,263.0,19,0,275.0,16,3,303.0,17,0,304.0,19,3
72,-1037659035,273.0,17,0,332.0,19,2,259.0,21,0,265.0,22,2
73,346534616,495.0,12,0,309.0,23,1,258.0,15,0,316.0,16,1
74,1496003474,302.0,8,0,293.0,16,1,300.0,17,0,259.0,12,1
75,-1024609393,260.0,15,0,385.0,11,3,225.0,7,0,312.0,9,5
76,845402361,271.0,13,0,255.0,10,3,260.0,9,0,248.0,10,0
77,94886828,260.0,15,0,314.0,17,3,314.0,15,0,292.0,17,0
78,1219962720,499.0,9,0,283.0,12,2,257.0,14,0,410.0,11,1
79,-1286206805,318.0,11,0,308.0,11,1,332.0,11,0,238.0,12,1
80,1472648124,266.0,6,0,257.0,9,1,260.0,10,0,329.0,9,1
81,-678190193,274.0,12,0,330.0,14,1,270.0,12,0,322.0,14,1
82,1641713179,498.0,14,0,357.0,12,1,320.0,13,0,376.0,11,1
83,-351719894,257.0,15,0,256.0,13,1,319.0,11,0,314.0,9,1
84,-1932159122,267.0,11,0,253.0,19,1,319.0,18,0,276.0,20,1
85,1443888029,258.0,14,0,319.0,15,3,288.0,12,0,282.0,10,2
86,-768889289,250.0,13,0,242.0,15,1,251.0,17,0,258.0,16,1
87,-1150061295,269.0,5,0,259.0,10,2,265.0,11,0,277.0,10,2
88,1217420037,259.0,20,0,222.0,14,1,215.0,13,0,263.0,16,1
89,404459087,316.0,9,0,259.0,7,4,253.0,6,0,313.0,7,2
90,970321900,272.0,19,0,258.0,12,2,218.0,13,0,381.0,14,2
91,1051810080,360.0,14,0,254.0,14,4,327.0,13,0,315.0,11,1
92,-104345028,390.0,16,0,264.0,13,3,281.0,13,0,310.0,12,3
93,1200532773,199.0,13,0,224.0,10,1,275.0,10,0,228.0,10,1
94,1170054569,266.0,19,0,404.0,16,2,258.0,16,0,285.0,15,2
95,154434719,320.0,11,0,291.0,20,2,206.0,18,0,226.0,19,0
96,1576286913,288.0,17,0,251.0,12,2,258.0,11,0,270.0,12,2
97,1310922002,289.0,13,0,255.0,11,5,272.0,11,0,318.0,12,2
98,965077183,249.0,21,0,256.0,10,5,267.0,12,0,307.0,10,2
99,-1281508244,274.0,20,0,297.0,13,1,283.0,10,0,316.0,10,2
