,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1854475318,380,35,1,556.0,8,0,271.0,12,0,271.0,12,0,271.0,12,0
1,1306721026,280,3,1,253.0,5,0,369.0,7,0,369.0,7,0,369.0,7,0
2,1906532460,508,16,1,258.0,10,0,369.0,14,0,369.0,14,0,369.0,14,0
3,-293620958,443,9,1,256.0,17,0,333.0,21,2,395.0,21,0,428.0,19,1
4,1915267293,408,29,1,494.0,10,0,289.0,8,0,289.0,8,0,289.0,8,0
5,-43311922,349,18,1,315.0,9,0,411.0,8,3,262.0,7,0,328.0,7,3
6,232173347,508,46,1,301.0,13,0,267.0,10,2,348.0,10,0,258.0,9,4
7,2109141546,483,15,1,435.0,13,0,208.0,14,4,320.0,13,0,274.0,13,5
8,2131991638,244,25,1,263.0,5,0,307.0,7,0,307.0,7,0,307.0,7,0
9,-1954663495,471,19,1,295.0,12,0,318.0,13,2,354.0,15,0,332.0,13,2
10,-2128417921,311,19,1,270.0,2,0,308.0,8,1,303.0,5,0,319.0,10,1
11,-1105637003,170,11,1,344.0,6,0,310.0,4,0,310.0,4,0,310.0,4,0
12,1382560942,456,5,1,314.0,8,0,423.0,8,0,423.0,8,0,423.0,8,0
13,835663108,547,17,1,361.0,14,0,260.0,15,5,421.0,14,0,437.0,16,5
14,-1258444543,534,6,1,407.0,14,0,369.0,15,1,382.0,16,0,382.0,15,1
15,-1907092092,547,33,1,501.0,13,0,322.0,17,1,428.0,17,0,298.0,17,1
16,-1797334994,490,40,1,264.0,19,0,342.0,20,1,374.0,19,0,295.0,18,2
17,2008368157,419,13,1,309.0,13,0,257.0,11,0,257.0,11,0,257.0,11,0
18,739613479,571,29,1,481.0,23,0,437.0,19,4,279.0,19,0,326.0,20,4
19,-495574631,563,34,1,335.0,13,0,258.0,10,3,379.0,11,0,329.0,9,2
20,-583538242,594,42,1,382.0,23,0,256.0,14,3,440.0,15,0,432.0,14,2
21,-1053078747,379,23,1,268.0,10,0,383.0,6,1,277.0,6,0,383.0,5,1
22,-1991674909,186,17,1,261.0,7,0,210.0,15,1,266.0,17,0,275.0,14,1
23,559991410,611,25,1,372.0,22,0,421.0,17,3,389.0,15,0,439.0,16,3
24,1323494115,693,56,1,495.0,21,0,381.0,14,6,382.0,14,0,448.0,16,3
25,-1736654523,438,18,1,366.0,14,0,316.0,9,0,316.0,9,0,316.0,9,0
26,-1514220556,639,39,1,389.0,10,0,332.0,23,3,498.0,20,0,376.0,22,2
27,-1275036289,495,35,1,429.0,15,0,325.0,21,1,354.0,18,0,220.0,23,1
28,505349504,518,32,1,267.0,20,0,398.0,8,1,437.0,9,0,438.0,8,1
29,-271884888,527,48,1,332.0,17,0,390.0,20,1,400.0,17,0,252.0,24,1
30,-2134785645,415,21,1,284.0,17,0,379.0,7,1,388.0,7,0,301.0,8,1
31,-460194163,297,24,1,271.0,9,0,425.0,4,1,312.0,3,0,209.0,5,1
32,-309056376,521,11,1,262.0,16,0,496.0,11,2,257.0,10,0,263.0,12,1
33,-759986841,245,15,1,262.0,16,0,323.0,7,0,323.0,7,0,323.0,7,0
34,1880368389,508,51,1,379.0,20,0,396.0,13,2,394.0,16,0,268.0,17,3
35,1893970737,228,16,1,259.0,6,0,316.0,5,0,316.0,5,0,316.0,5,0
36,1621362843,439,18,1,303.0,15,0,386.0,9,3,310.0,9,0,262.0,10,3
37,762781844,534,17,1,359.0,25,0,589.0,20,0,589.0,20,0,589.0,20,0
38,-1113600132,486,25,1,273.0,21,0,265.0,19,0,265.0,19,0,265.0,19,0
39,285742591,422,13,1,273.0,11,0,344.0,11,1,262.0,12,0,312.0,15,2
40,222094948,432,13,1,434.0,9,0,281.0,16,2,273.0,18,0,321.0,15,1
41,1136596434,258,19,1,271.0,11,0,291.0,6,1,286.0,5,0,300.0,5,1
42,-1170512778,568,18,1,313.0,13,0,374.0,11,6,264.0,10,0,269.0,10,2
43,1498665622,277,14,1,260.0,11,0,223.0,11,2,317.0,12,0,272.0,11,2
44,-1788037182,460,37,1,295.0,11,0,473.0,17,3,344.0,17,0,281.0,17,3
45,-143141381,663,14,1,272.0,11,0,382.0,12,3,387.0,7,0,315.0,11,6
46,354494312,525,6,1,314.0,6,0,371.0,17,2,259.0,16,0,273.0,17,2
47,-1920269615,448,14,1,316.0,4,0,386.0,7,0,386.0,7,0,386.0,7,0
48,228103246,214,9,1,265.0,3,0,266.0,6,0,266.0,6,0,266.0,6,0
49,169148879,409,29,1,295.0,7,0,264.0,12,2,301.0,14,0,397.0,16,2
