,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1413050681,231,4,221.0,4,0,254.0,5,0,254.0,5,0,254.0,5,0
1,-1210225882,649,9,502.0,18,0,680.0,18,8,317.0,18,0,259.0,22,1
2,-1315731065,231,3,327.0,13,0,206.0,4,1,321.0,3,0,208.0,4,1
3,-242533975,269,2,267.0,6,0,316.0,6,0,316.0,6,0,316.0,6,0
4,-654450988,280,7,255.0,11,0,258.0,9,0,258.0,9,0,258.0,9,0
5,697802904,685,5,316.0,23,0,601.0,20,6,239.0,19,0,257.0,19,5
6,-1703773992,370,2,252.0,20,0,373.0,12,0,373.0,12,0,373.0,12,0
7,1163917771,377,3,220.0,9,0,230.0,9,2,433.0,9,0,206.0,6,0
8,338570454,253,2,274.0,7,0,219.0,4,1,325.0,5,0,256.0,3,0
9,-236444653,361,1,279.0,12,0,260.0,7,0,260.0,7,0,260.0,7,0
10,1098691144,433,10,264.0,23,0,255.0,14,4,270.0,13,0,252.0,10,3
11,-1862623476,673,1,340.0,30,0,377.0,14,5,298.0,14,0,260.0,15,5
12,1243825996,425,1,311.0,23,0,324.0,14,2,317.0,13,0,313.0,15,0
13,443348931,492,6,268.0,19,0,256.0,10,2,262.0,11,0,357.0,11,1
14,1408681073,319,10,315.0,1,0,282.0,7,0,282.0,7,0,282.0,7,0
15,683300480,676,8,413.0,13,0,316.0,16,5,336.0,17,0,313.0,18,2
16,650536313,252,6,255.0,1,0,255.0,5,0,255.0,5,0,255.0,5,0
17,-1858091886,632,1,289.0,23,0,314.0,17,6,385.0,20,0,377.0,18,4
18,-1081916432,152,4,264.0,6,0,380.0,5,0,380.0,5,0,380.0,5,0
19,1296500285,592,8,267.0,28,0,255.0,12,4,260.0,16,0,216.0,11,3
20,-30716347,252,3,315.0,7,0,261.0,7,0,261.0,7,0,261.0,7,0
21,2005565283,331,4,261.0,9,0,253.0,7,1,260.0,7,0,264.0,8,1
22,-1683461456,292,5,337.0,6,0,275.0,8,1,411.0,8,0,315.0,9,1
23,520916303,244,3,265.0,14,0,296.0,6,0,296.0,6,0,296.0,6,0
24,-1857246855,601,1,500.0,22,0,312.0,15,2,261.0,15,0,376.0,16,3
25,-1801574175,161,6,262.0,5,0,326.0,6,0,326.0,6,0,326.0,6,0
26,2040268148,557,1,275.0,20,0,265.0,25,5,311.0,21,0,415.0,22,4
27,760387761,360,10,254.0,12,0,256.0,7,0,256.0,7,0,256.0,7,0
28,1317573667,259,9,212.0,12,0,258.0,11,0,258.0,11,0,258.0,11,0
29,1726583487,274,6,278.0,7,0,199.0,8,1,275.0,8,0,201.0,9,1
30,65395424,520,9,251.0,11,0,323.0,15,3,273.0,14,0,324.0,15,2
