,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1084201336,572,35,270.0,27,0,318.0,16,5,215.0,13,0,262.0,12,2
1,-480187969,569,6,590.0,11,0,255.0,21,1,256.0,21,0,256.0,21,0
2,1449064911,470,29,323.0,16,0,287.0,20,0,287.0,20,0,287.0,20,0
3,-1716493690,650,13,498.0,14,0,320.0,18,11,333.0,21,0,282.0,23,3
4,1633433115,357,15,270.0,11,0,282.0,16,3,339.0,13,0,279.0,13,1
5,256025363,642,52,269.0,13,0,255.0,12,4,259.0,14,0,328.0,13,3
6,511155605,483,44,300.0,10,0,251.0,9,1,339.0,11,0,255.0,9,2
7,-128049459,230,19,258.0,5,0,206.0,7,0,206.0,7,0,206.0,7,0
8,-1971511539,373,4,279.0,14,0,254.0,19,0,254.0,19,0,254.0,19,0
9,119292814,423,9,262.0,26,0,241.0,33,0,241.0,33,0,241.0,33,0
10,-1900263192,385,24,316.0,11,0,278.0,6,2,214.0,6,0,220.0,5,2
11,1561147508,377,19,265.0,11,0,258.0,17,0,258.0,17,0,258.0,17,0
12,-1881697293,491,35,508.0,12,0,264.0,12,1,271.0,11,0,315.0,13,2
13,-334708102,691,7,307.0,17,0,316.0,30,3,278.0,26,0,251.0,29,2
14,-1902099667,266,24,350.0,6,0,227.0,13,1,268.0,11,0,268.0,14,2
15,2138885358,488,25,266.0,15,0,217.0,15,2,281.0,16,0,317.0,17,2
16,856635688,293,15,291.0,5,0,321.0,15,2,256.0,15,0,263.0,15,1
17,1363577771,653,20,287.0,22,0,265.0,20,2,236.0,17,0,295.0,17,2
18,717971459,600,36,264.0,9,0,264.0,17,2,328.0,17,0,318.0,15,2
19,1672824036,242,3,250.0,11,0,319.0,5,0,319.0,5,0,319.0,5,0
20,-57781135,357,18,291.0,7,0,279.0,11,1,254.0,11,0,259.0,11,1
21,-1713699636,441,31,481.0,14,0,257.0,16,2,239.0,14,0,253.0,14,1
22,-1380992416,334,31,393.0,11,0,320.0,11,1,285.0,13,0,325.0,10,1
23,-1205890746,499,10,271.0,9,0,372.0,8,3,319.0,6,0,253.0,5,3
24,957702269,338,14,250.0,5,0,254.0,19,1,405.0,14,0,221.0,14,1
25,-396356892,410,21,257.0,17,0,371.0,11,1,314.0,14,0,254.0,13,1
26,1438620422,678,14,264.0,28,0,330.0,20,6,447.0,20,0,326.0,20,2
27,389025888,430,22,279.0,11,0,280.0,9,4,255.0,11,0,315.0,9,1
28,943985958,610,49,358.0,23,0,341.0,16,5,321.0,17,0,266.0,15,3
29,-235393586,682,41,294.0,19,0,313.0,20,6,314.0,24,0,278.0,26,3
30,653924657,678,68,308.0,18,0,318.0,22,8,257.0,20,0,267.0,19,4
31,-2011004181,156,4,209.0,7,0,321.0,6,0,321.0,6,0,321.0,6,0
32,-74838799,635,39,266.0,15,0,282.0,15,4,292.0,14,0,255.0,16,2
33,1021768049,561,45,260.0,12,0,331.0,15,2,318.0,16,0,318.0,16,1
34,-1789568806,655,40,509.0,19,0,414.0,22,3,277.0,22,0,495.0,21,2
35,236017535,389,39,490.0,9,0,261.0,14,2,304.0,13,0,280.0,12,2
36,-708230006,685,14,313.0,16,0,268.0,14,3,256.0,21,0,290.0,17,4
37,284676812,444,23,361.0,12,0,288.0,11,0,288.0,11,0,288.0,11,0
38,312449505,482,20,262.0,24,0,213.0,13,2,332.0,13,0,318.0,13,2
39,-1859496907,401,33,325.0,9,0,252.0,10,3,286.0,11,0,272.0,9,3
40,-1418495092,680,28,272.0,25,0,317.0,16,6,331.0,19,0,269.0,19,3
41,-1389983179,224,5,255.0,7,0,325.0,3,0,325.0,3,0,325.0,3,0
42,-136527877,256,13,269.0,6,0,232.0,11,0,232.0,11,0,232.0,11,0
43,-1489379551,163,15,201.0,3,0,283.0,5,0,283.0,5,0,283.0,5,0
44,-1118331013,211,9,251.0,4,0,249.0,4,1,207.0,5,0,243.0,9,1
45,1683424632,396,32,301.0,10,0,267.0,9,2,373.0,10,0,263.0,10,1
46,175696560,594,54,285.0,15,0,347.0,22,1,377.0,21,0,262.0,20,2
47,471155364,537,17,269.0,16,0,319.0,16,8,278.0,12,0,276.0,12,3
48,1455590620,645,46,325.0,15,0,262.0,21,4,257.0,24,0,282.0,23,3
49,-8311122,202,13,211.0,5,0,252.0,5,0,252.0,5,0,252.0,5,0
