,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-954206427,800,1,8,270.0,14,0,205.0,12,15,248.0,16,0,273.0,12,9
1,305571435,800,1,8,366.0,26,0,250.0,18,5,374.0,18,0,253.0,19,5
2,1660518257,800,1,8,339.0,29,0,256.0,21,4,309.0,21,0,413.0,18,4
3,1249557426,800,1,8,287.0,28,0,255.0,26,7,370.0,25,0,254.0,25,7
4,1945840310,800,1,8,512.0,14,0,257.0,22,9,261.0,22,0,383.0,25,7
5,-1921186095,800,1,8,312.0,37,0,261.0,16,8,437.0,18,0,254.0,19,9
6,1773197161,800,1,8,369.0,17,0,323.0,20,5,315.0,22,0,253.0,21,5
7,-940218326,800,1,8,269.0,16,0,324.0,26,11,225.0,23,0,307.0,23,12
8,-1580355514,800,1,8,311.0,27,0,255.0,23,9,287.0,24,0,248.0,23,7
9,-2087909536,800,1,8,490.0,18,0,257.0,18,9,313.0,19,0,275.0,18,7
10,696620124,800,1,8,321.0,27,0,309.0,13,4,243.0,17,0,250.0,15,7
11,1319997233,800,1,8,376.0,18,0,264.0,15,10,255.0,15,0,271.0,14,11
12,1990947319,800,1,8,312.0,20,0,250.0,17,15,322.0,19,0,263.0,20,10
13,-1227335708,800,1,8,451.0,21,0,255.0,31,6,312.0,24,0,254.0,30,5
14,-2099061242,800,1,8,296.0,25,0,253.0,20,12,312.0,22,0,315.0,23,6
15,-1713070225,800,1,8,312.0,29,0,263.0,28,7,302.0,30,0,257.0,30,6
16,1629541355,800,1,8,296.0,22,0,320.0,19,11,260.0,19,0,311.0,18,9
17,2082732090,800,1,8,267.0,20,0,261.0,13,5,328.0,13,0,245.0,14,5
18,289550985,800,1,8,279.0,19,0,258.0,18,9,320.0,23,0,330.0,21,10
19,-1588701791,800,1,8,291.0,26,0,253.0,14,15,309.0,18,0,280.0,16,19
20,-1858969882,800,1,8,506.0,18,0,265.0,16,10,377.0,14,0,315.0,18,5
21,-98755333,800,1,8,504.0,21,0,293.0,26,4,504.0,34,0,282.0,25,2
22,-938437951,800,1,8,373.0,25,0,291.0,22,4,296.0,24,0,260.0,20,6
23,1363101402,800,1,8,316.0,41,0,380.0,33,4,286.0,30,0,317.0,34,6
24,35439401,800,1,8,284.0,19,0,401.0,19,7,453.0,20,0,285.0,18,9
25,116026478,800,1,8,286.0,38,0,275.0,23,7,318.0,25,0,264.0,24,6
26,-618236694,800,1,8,370.0,19,0,378.0,17,6,498.0,19,0,221.0,18,4
27,649036701,800,1,8,493.0,20,0,263.0,23,7,262.0,25,0,289.0,25,7
28,132142985,800,1,8,298.0,16,0,259.0,33,6,285.0,32,0,316.0,35,10
29,917624991,800,1,8,510.0,16,0,250.0,25,8,257.0,19,0,254.0,17,10
30,-1461230575,800,1,8,310.0,25,0,412.0,25,9,286.0,27,0,249.0,27,12
31,1124221696,800,1,8,374.0,21,0,310.0,20,4,259.0,14,0,253.0,24,4
32,-963050178,800,1,8,402.0,33,0,245.0,25,11,223.0,21,0,313.0,25,9
33,-20959435,800,1,8,264.0,18,0,312.0,19,3,282.0,21,0,289.0,19,6
34,-1600005624,800,1,8,269.0,21,0,258.0,19,11,296.0,21,0,260.0,18,12
35,321647394,800,1,8,376.0,33,0,230.0,31,5,266.0,30,0,291.0,34,7
36,686990374,800,1,8,372.0,30,0,327.0,25,12,318.0,29,0,258.0,20,9
37,885276294,800,1,8,406.0,23,0,266.0,20,6,241.0,23,0,282.0,18,10
38,-1904722554,800,1,8,323.0,20,0,252.0,24,8,317.0,21,0,266.0,26,12
39,1948846489,800,1,8,296.0,13,0,370.0,25,8,410.0,28,0,382.0,31,3
40,-427112047,800,1,8,742.0,20,0,255.0,19,8,255.0,22,0,374.0,20,6
41,-280745389,800,1,8,306.0,18,0,220.0,17,4,449.0,18,0,252.0,18,11
42,-152854535,800,1,8,372.0,27,0,259.0,21,12,257.0,20,0,281.0,18,5
43,-678800904,800,1,8,268.0,11,0,280.0,45,6,256.0,41,0,322.0,38,6
44,-1123521079,800,1,8,498.0,26,0,235.0,15,9,334.0,17,0,282.0,15,10
45,1890083207,800,1,8,282.0,22,0,254.0,20,6,418.0,19,0,293.0,22,4
46,856367409,800,1,8,313.0,28,0,255.0,35,7,267.0,34,0,256.0,31,9
47,-495347094,800,1,8,515.0,24,0,296.0,23,6,252.0,22,0,270.0,23,7
48,-1602245418,800,1,8,292.0,27,0,254.0,16,11,304.0,21,0,259.0,26,10
49,1268764023,800,1,8,273.0,19,0,249.0,19,5,232.0,18,0,251.0,16,13
