,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-473472528,800,1,8,496.0,24,0,315.0,26,5,427.0,27,0,261.0,24,5
1,1090404845,800,1,8,742.0,18,0,303.0,14,5,258.0,13,0,473.0,14,4
2,363150881,800,1,8,316.0,23,0,256.0,20,5,236.0,19,0,257.0,21,4
3,742549874,800,1,8,264.0,24,0,387.0,25,9,324.0,29,0,234.0,28,6
4,879393995,800,1,8,511.0,11,0,265.0,17,8,276.0,19,0,302.0,19,3
5,-2139694787,800,1,8,314.0,22,0,258.0,18,5,287.0,19,0,272.0,18,6
6,530240799,800,1,8,293.0,20,0,495.0,36,6,576.0,38,0,233.0,40,8
7,-691463482,800,1,8,715.0,26,0,220.0,20,12,248.0,18,0,278.0,18,5
8,-1917774401,800,1,8,268.0,20,0,252.0,19,2,264.0,26,0,256.0,22,3
9,312389501,800,1,8,265.0,33,0,295.0,43,9,508.0,42,0,308.0,46,4
10,1786918957,800,1,8,740.0,29,0,514.0,21,13,257.0,25,0,315.0,23,2
11,16163924,800,1,8,719.0,31,0,497.0,44,7,314.0,37,0,252.0,38,5
12,1272800537,800,1,8,290.0,39,0,208.0,22,9,259.0,19,0,374.0,20,6
13,2124099203,800,1,8,263.0,17,0,318.0,27,9,302.0,27,0,510.0,27,6
14,1434957940,800,1,8,370.0,23,0,437.0,20,13,263.0,22,0,261.0,17,8
15,326525507,800,1,8,272.0,10,0,491.0,24,13,260.0,27,0,283.0,21,5
16,620000833,800,1,8,301.0,22,0,259.0,21,6,260.0,24,0,375.0,21,4
17,-1374108008,800,1,8,510.0,23,0,255.0,22,6,414.0,21,0,274.0,21,4
18,1087164052,800,1,8,314.0,34,0,266.0,26,10,367.0,18,0,248.0,20,4
19,316148022,800,1,8,374.0,25,0,220.0,18,6,310.0,21,0,263.0,26,8
20,-277197343,800,1,8,508.0,27,0,398.0,19,13,262.0,15,0,314.0,14,3
21,-1443963516,800,1,8,270.0,19,0,265.0,22,13,218.0,20,0,290.0,17,8
22,-1428173741,800,1,8,509.0,27,0,256.0,28,6,296.0,28,0,511.0,30,7
23,1610158367,800,1,8,310.0,28,0,311.0,24,12,319.0,25,0,350.0,26,4
24,-78577754,800,1,8,284.0,35,0,310.0,19,11,315.0,24,0,289.0,19,4
25,1012109497,800,1,8,282.0,27,0,292.0,23,5,303.0,20,0,225.0,18,9
26,-1475552629,800,1,8,547.0,22,0,256.0,22,11,266.0,22,0,275.0,20,3
27,-891349336,800,1,8,279.0,22,0,551.0,18,11,312.0,16,0,255.0,14,3
28,-1319682384,800,1,8,294.0,15,0,286.0,22,8,264.0,23,0,260.0,20,0
29,-1231216424,800,1,8,495.0,38,0,312.0,27,9,312.0,26,0,327.0,25,3
30,889759393,800,1,8,264.0,8,0,260.0,17,13,313.0,14,0,238.0,14,4
31,338689135,800,1,8,267.0,14,0,495.0,24,8,369.0,21,0,222.0,22,5
32,1754286527,800,1,8,338.0,16,0,476.0,17,14,251.0,19,0,256.0,18,7
33,979643716,800,1,8,497.0,31,0,312.0,27,10,260.0,29,0,258.0,31,1
34,-338100324,800,1,8,507.0,13,0,413.0,14,5,261.0,18,0,313.0,14,4
35,564578838,800,1,8,538.0,27,0,233.0,12,13,496.0,14,0,316.0,13,7
36,764432833,800,1,8,264.0,25,0,236.0,19,2,375.0,20,0,211.0,19,2
37,-351350008,800,1,8,493.0,26,0,256.0,19,9,262.0,19,0,263.0,19,3
38,-2021239826,800,1,8,293.0,19,0,257.0,30,8,215.0,28,0,378.0,26,2
39,282898479,800,1,8,700.0,21,0,248.0,20,14,260.0,19,0,255.0,20,7
40,1425384281,800,1,8,433.0,19,0,266.0,27,13,324.0,29,0,268.0,30,3
41,803715019,800,1,8,255.0,32,0,259.0,33,10,255.0,30,0,310.0,27,9
42,1177165713,800,1,8,295.0,30,0,320.0,22,7,330.0,24,0,213.0,23,12
43,899406380,800,1,8,315.0,22,0,264.0,24,8,267.0,22,0,251.0,26,9
44,25726655,800,1,8,490.0,20,0,486.0,14,8,251.0,10,0,274.0,11,5
45,-37802426,800,1,8,388.0,33,0,506.0,21,10,254.0,21,0,318.0,31,7
46,859857963,800,1,8,498.0,26,0,515.0,23,11,261.0,20,0,278.0,18,7
47,-665441098,800,1,8,320.0,18,0,318.0,34,7,326.0,32,0,251.0,25,6
48,1498620627,800,1,8,262.0,31,0,269.0,38,8,311.0,32,0,319.0,34,5
49,-1057882304,800,1,8,301.0,23,0,312.0,14,12,285.0,11,0,316.0,12,1
