,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,659409501,462,28,250.0,17,0,292.0,7,2,292.0,7,0,260.0,11,2
1,917786107,462,28,375.0,16,0,301.0,16,2,256.0,15,0,283.0,17,3
2,-822673147,462,28,504.0,8,0,376.0,9,2,230.0,8,0,237.0,7,2
3,-1075919008,462,28,255.0,18,0,262.0,28,2,260.0,22,0,261.0,23,1
4,-1761224996,462,28,329.0,16,0,248.0,7,0,248.0,7,0,248.0,7,0
5,-524541305,462,28,270.0,6,0,254.0,6,3,290.0,6,0,317.0,6,3
6,1893822463,462,28,495.0,18,0,316.0,15,1,332.0,16,0,263.0,12,1
7,485737839,462,28,253.0,16,0,256.0,17,2,228.0,16,0,229.0,16,2
8,-1904720091,462,28,264.0,11,0,341.0,14,4,235.0,14,0,313.0,12,4
9,-1743140357,462,28,277.0,15,0,209.0,12,1,323.0,11,0,281.0,10,1
10,94537191,462,28,270.0,24,0,323.0,15,4,254.0,12,0,259.0,15,1
11,2006790712,462,28,282.0,23,0,312.0,13,1,312.0,12,0,366.0,13,1
12,51665716,462,28,503.0,9,0,223.0,22,1,330.0,27,0,345.0,22,1
13,1743748272,462,28,287.0,17,0,318.0,15,1,314.0,17,0,437.0,15,1
14,1907329510,462,28,272.0,14,0,269.0,17,2,315.0,20,0,263.0,18,1
15,324507115,462,28,502.0,19,0,336.0,8,1,261.0,7,0,213.0,10,2
16,59281638,462,28,225.0,10,0,385.0,9,1,260.0,8,0,256.0,8,2
17,1253930348,462,28,324.0,14,0,259.0,19,0,259.0,19,0,259.0,19,0
18,-806894664,462,28,261.0,13,0,275.0,17,2,338.0,16,0,211.0,16,4
19,-1877509022,462,28,463.0,7,0,353.0,15,1,380.0,20,0,339.0,21,1
20,-187629547,462,28,505.0,7,0,260.0,10,1,435.0,9,0,276.0,10,3
21,256547957,462,28,264.0,15,0,321.0,11,4,269.0,8,0,250.0,11,3
22,-45563731,462,28,271.0,19,0,441.0,16,2,261.0,13,0,320.0,14,2
23,-864105874,462,28,260.0,20,0,306.0,13,2,277.0,13,0,259.0,13,2
24,535948454,462,28,316.0,18,0,378.0,14,2,314.0,11,0,285.0,9,3
25,992922647,462,28,228.0,13,0,259.0,21,1,275.0,18,0,284.0,21,1
26,773212736,462,28,265.0,14,0,322.0,18,3,251.0,20,0,273.0,19,2
27,297333085,462,28,318.0,10,0,273.0,9,4,261.0,7,0,225.0,10,4
28,1517999356,462,28,501.0,13,0,336.0,13,1,325.0,13,0,257.0,17,1
29,1698923454,462,28,251.0,15,0,272.0,13,1,310.0,12,0,321.0,14,1
30,-1859493537,462,28,268.0,14,0,310.0,19,1,267.0,18,0,221.0,19,1
31,1025576401,462,28,265.0,10,0,236.0,5,3,220.0,7,0,309.0,5,2
32,-2010711825,462,28,496.0,13,0,261.0,17,1,254.0,18,0,272.0,16,2
33,-760125508,462,28,272.0,9,0,244.0,16,4,281.0,17,0,258.0,17,4
34,1999875957,462,28,258.0,8,0,275.0,11,2,559.0,9,0,318.0,11,2
35,755912774,462,28,338.0,12,0,312.0,11,2,319.0,12,0,209.0,12,1
36,-888990291,462,28,251.0,13,0,259.0,22,0,259.0,22,0,259.0,22,0
37,796572688,462,28,255.0,9,0,254.0,8,2,253.0,10,0,315.0,14,3
38,-1121616640,462,28,340.0,17,0,260.0,15,3,302.0,17,0,334.0,17,2
39,50021894,462,28,253.0,17,0,274.0,17,4,314.0,13,0,257.0,16,3
40,1657496894,462,28,509.0,18,0,288.0,17,3,266.0,18,0,228.0,18,3
41,1506037929,462,28,268.0,9,0,233.0,18,1,272.0,18,0,324.0,21,1
42,423627547,462,28,314.0,8,0,274.0,8,1,324.0,10,0,271.0,6,1
43,875690822,462,28,268.0,19,0,269.0,21,0,269.0,21,0,269.0,21,0
44,896136348,462,28,257.0,24,0,261.0,15,2,255.0,13,0,540.0,17,1
45,1402951777,462,28,252.0,13,0,259.0,29,1,310.0,25,0,351.0,29,2
46,537922825,462,28,337.0,20,0,272.0,19,2,336.0,19,0,253.0,18,3
47,-563621960,462,28,305.0,19,0,278.0,19,3,263.0,13,0,249.0,11,3
48,-1518644054,462,28,257.0,13,0,279.0,19,2,263.0,14,0,376.0,13,1
49,1732071290,462,28,328.0,23,0,260.0,11,2,320.0,11,0,260.0,11,2
