,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,2069604303,496.0,12,0,260.0,11,2,257.0,6,0,257.0,7,2
1,-559399234,274.0,9,0,258.0,14,2,330.0,11,0,214.0,12,2
2,-1952662654,258.0,12,0,341.0,16,0,341.0,16,0,341.0,16,0
3,-1941225093,261.0,15,0,254.0,5,3,241.0,7,0,254.0,5,0
4,-1908286582,317.0,12,0,262.0,12,3,262.0,11,0,339.0,11,2
5,10486052,401.0,18,0,322.0,17,1,258.0,17,0,353.0,17,1
6,1460898265,493.0,9,0,305.0,15,2,256.0,15,0,330.0,15,2
7,-1962397604,261.0,28,0,257.0,10,1,271.0,10,0,261.0,10,1
8,436153362,264.0,19,0,262.0,21,1,327.0,22,0,199.0,21,1
9,-624011494,272.0,11,0,275.0,14,1,217.0,13,0,259.0,14,2
10,-1126262583,273.0,6,0,258.0,17,1,247.0,17,0,247.0,17,0
11,1354973925,254.0,17,0,266.0,4,3,269.0,4,0,253.0,4,3
12,-187715223,262.0,13,0,263.0,17,4,232.0,19,0,274.0,20,1
13,-111079696,285.0,17,0,345.0,17,1,261.0,16,0,438.0,15,3
14,-1202085758,269.0,17,0,271.0,15,1,375.0,13,0,272.0,14,1
15,1048957238,378.0,9,0,320.0,16,1,260.0,15,0,294.0,16,1
16,-1818301664,327.0,10,0,260.0,10,1,267.0,13,0,207.0,13,1
17,435091223,303.0,15,0,365.0,14,1,247.0,14,0,257.0,15,2
18,-119113868,252.0,7,0,272.0,13,1,265.0,16,0,289.0,16,2
19,-959639412,288.0,18,0,316.0,12,1,376.0,13,0,227.0,12,1
20,331795505,249.0,18,0,212.0,10,2,267.0,14,0,258.0,11,3
21,2002692643,512.0,9,0,263.0,11,2,266.0,12,0,287.0,13,1
22,923973083,263.0,6,0,262.0,14,0,262.0,14,0,262.0,14,0
23,-1600056323,320.0,19,0,315.0,18,1,322.0,21,0,280.0,18,1
24,246686765,494.0,21,0,203.0,11,1,263.0,10,0,263.0,10,2
25,1040736481,312.0,13,0,342.0,10,5,275.0,7,0,351.0,6,3
26,-1731221615,263.0,12,0,282.0,10,1,300.0,8,0,257.0,11,2
27,635445875,329.0,11,0,234.0,18,2,323.0,13,0,266.0,16,3
28,101748649,281.0,6,0,268.0,10,2,278.0,9,0,252.0,12,2
29,1605455771,374.0,15,0,255.0,8,1,313.0,9,0,254.0,6,2
30,-1065151673,277.0,10,0,343.0,17,3,256.0,12,0,361.0,15,3
31,-565855466,327.0,11,0,317.0,16,1,274.0,16,0,324.0,14,3
32,-188962378,250.0,16,0,274.0,13,3,315.0,14,0,316.0,16,2
33,36617617,287.0,21,0,316.0,15,1,265.0,14,0,333.0,13,0
34,736758187,254.0,11,0,291.0,9,5,256.0,7,0,291.0,8,7
35,-1375330328,252.0,6,0,258.0,16,1,306.0,14,0,321.0,14,1
36,-1947332425,261.0,9,0,215.0,13,0,215.0,13,0,215.0,13,0
37,-2103242747,210.0,21,0,377.0,26,1,235.0,26,0,263.0,27,1
38,-752736968,264.0,21,0,265.0,22,2,251.0,24,0,270.0,17,2
39,-1982444416,497.0,13,0,266.0,13,2,312.0,14,0,257.0,9,1
40,-1974125620,275.0,14,0,251.0,9,1,317.0,11,0,295.0,10,1
41,1776596203,261.0,21,0,289.0,14,2,266.0,16,0,272.0,16,2
42,202166185,315.0,8,0,329.0,9,3,256.0,16,0,257.0,11,1
43,-76011914,285.0,13,0,258.0,12,2,371.0,13,0,280.0,10,3
44,-435176434,256.0,10,0,248.0,16,1,269.0,15,0,257.0,13,2
45,451108988,270.0,17,0,331.0,8,4,264.0,7,0,281.0,7,3
46,1011845957,498.0,10,0,268.0,16,4,253.0,18,0,253.0,14,5
47,390293813,376.0,10,0,254.0,14,2,292.0,14,0,216.0,14,2
48,1494139863,295.0,13,0,327.0,8,1,290.0,8,0,276.0,9,2
49,1597242750,495.0,16,0,266.0,14,4,255.0,13,0,206.0,14,4
