,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-742277627,462,28,295.0,8,0,266.0,11,1,369.0,11,0,279.0,11,2
1,1816968569,462,28,284.0,13,0,329.0,7,1,356.0,8,0,261.0,8,3
2,-896491340,462,28,290.0,30,0,255.0,13,3,250.0,11,0,217.0,12,3
3,-60267484,462,28,294.0,8,0,270.0,13,2,270.0,13,0,257.0,15,2
4,187371531,462,28,269.0,7,0,373.0,11,1,280.0,10,0,225.0,11,2
5,947427458,462,28,260.0,7,0,256.0,12,2,225.0,11,0,288.0,10,1
6,174438748,462,28,258.0,21,0,230.0,8,4,396.0,9,0,259.0,9,0
7,1997608591,462,28,501.0,16,0,317.0,14,1,274.0,15,0,256.0,14,3
8,-140355342,462,28,315.0,19,0,316.0,9,1,254.0,9,0,316.0,11,1
9,-895429949,462,28,252.0,15,0,267.0,11,1,254.0,11,0,284.0,12,1
10,2146574183,462,28,247.0,13,0,312.0,17,1,264.0,19,0,262.0,18,1
11,-1306067193,462,28,256.0,9,0,284.0,19,0,284.0,19,0,284.0,19,0
12,1066644742,462,28,259.0,15,0,331.0,15,3,256.0,16,0,260.0,18,3
13,1254617014,462,28,317.0,14,0,456.0,25,2,288.0,24,0,255.0,21,2
14,454011492,462,28,255.0,17,0,345.0,10,3,261.0,9,0,404.0,9,3
15,502215095,462,28,376.0,12,0,267.0,20,1,373.0,20,0,213.0,18,1
16,1747355067,462,28,279.0,11,0,465.0,7,5,284.0,7,0,481.0,7,4
17,-1812769448,462,28,342.0,15,0,347.0,17,2,318.0,16,0,279.0,17,4
18,-195480288,462,28,254.0,16,0,346.0,9,3,255.0,12,0,257.0,9,2
19,-768114391,462,28,330.0,13,0,246.0,24,0,246.0,24,0,246.0,24,0
20,63326709,462,28,261.0,13,0,282.0,15,4,313.0,16,0,316.0,15,3
21,-1410613957,462,28,278.0,12,0,438.0,14,4,272.0,19,0,279.0,18,4
22,782376802,462,28,254.0,9,0,320.0,19,2,267.0,17,0,226.0,17,2
23,-632293121,462,28,218.0,14,0,261.0,21,2,311.0,19,0,257.0,22,1
24,772813387,462,28,289.0,11,0,402.0,9,2,431.0,9,0,375.0,9,1
25,-1381477171,462,28,268.0,7,0,206.0,8,1,272.0,8,0,317.0,13,1
26,825346829,462,28,487.0,28,0,325.0,19,2,285.0,19,0,316.0,18,2
27,-654817173,462,28,343.0,9,0,339.0,31,1,333.0,33,0,339.0,28,1
28,-1267280882,462,28,266.0,12,0,218.0,15,0,218.0,15,0,218.0,15,0
29,661695278,462,28,314.0,13,0,405.0,11,3,261.0,7,0,301.0,8,1
30,-1030520237,462,28,272.0,12,0,258.0,12,2,341.0,10,0,269.0,9,1
31,1884590888,462,28,324.0,17,0,252.0,10,0,252.0,10,0,252.0,10,0
32,-1575670364,462,28,262.0,10,0,316.0,10,1,480.0,15,0,376.0,11,1
33,-1864546715,462,28,259.0,9,0,378.0,13,1,272.0,14,0,314.0,12,1
34,480194849,462,28,344.0,7,0,340.0,10,1,291.0,10,0,374.0,10,1
35,-1210636307,462,28,252.0,6,0,316.0,5,0,316.0,5,0,316.0,5,0
36,484919705,462,28,265.0,16,0,370.0,16,1,271.0,10,0,352.0,13,1
37,-1022085496,462,28,262.0,14,0,284.0,15,1,302.0,14,0,320.0,14,1
38,-284320839,462,28,252.0,14,0,291.0,12,1,273.0,12,0,263.0,12,1
39,1783222496,462,28,384.0,10,0,415.0,10,3,307.0,8,0,322.0,9,2
40,1274917632,462,28,288.0,9,0,254.0,18,1,296.0,19,0,263.0,18,1
41,673751535,462,28,375.0,11,0,493.0,13,2,296.0,13,0,315.0,11,1
42,-1783333898,462,28,284.0,14,0,276.0,12,2,256.0,12,0,258.0,12,2
43,-654747757,462,28,330.0,11,0,262.0,11,3,294.0,11,0,253.0,11,3
44,-142003634,462,28,262.0,10,0,207.0,13,3,326.0,9,0,365.0,11,4
45,1460104161,462,28,257.0,12,0,216.0,14,2,408.0,14,0,266.0,14,2
46,-1906067492,462,28,312.0,17,0,264.0,21,1,211.0,22,0,373.0,19,2
47,-905386162,462,28,250.0,23,0,351.0,7,1,274.0,5,0,385.0,6,1
48,2095767432,462,28,325.0,11,0,315.0,13,0,315.0,13,0,315.0,13,0
49,438016917,462,28,272.0,14,0,322.0,18,1,262.0,17,0,256.0,19,2
