,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1762793626,462,28,309.0,13,0,320.0,9,1,346.0,8,0,321.0,8,1
1,1583894529,462,28,328.0,19,0,264.0,18,3,262.0,17,0,287.0,21,2
2,927715431,462,28,244.0,12,0,253.0,9,2,313.0,8,0,271.0,8,2
3,-852325740,462,28,281.0,17,0,274.0,13,1,264.0,12,0,317.0,13,1
4,1467752192,462,28,266.0,10,0,213.0,11,0,213.0,11,0,213.0,11,0
5,-645909568,462,28,379.0,14,0,323.0,10,4,267.0,12,0,284.0,13,2
6,1289906826,462,28,275.0,8,0,336.0,12,1,529.0,11,0,376.0,11,1
7,1315476584,462,28,259.0,13,0,329.0,8,2,274.0,8,0,270.0,8,1
8,1916148222,462,28,321.0,22,0,266.0,15,3,319.0,15,0,208.0,15,1
9,-364029653,462,28,323.0,17,0,285.0,13,3,267.0,12,0,213.0,13,2
10,-1636530621,462,28,266.0,12,0,262.0,12,3,317.0,8,0,206.0,12,4
11,-1577615942,462,28,490.0,16,0,258.0,10,2,282.0,10,0,210.0,12,4
12,-1341454751,462,28,387.0,23,0,214.0,12,4,365.0,11,0,363.0,11,2
13,1024997703,462,28,263.0,13,0,318.0,21,0,318.0,21,0,318.0,21,0
14,939166732,462,28,261.0,15,0,363.0,13,2,358.0,18,0,260.0,15,3
15,-1501339272,462,28,257.0,16,0,315.0,13,2,348.0,16,0,268.0,15,1
16,-477162118,462,28,274.0,12,0,269.0,14,4,267.0,14,0,204.0,15,4
17,-564776959,462,28,355.0,15,0,261.0,12,3,255.0,13,0,293.0,13,4
18,-355764126,462,28,319.0,9,0,314.0,16,1,319.0,21,0,263.0,13,1
19,2125451297,462,28,256.0,6,0,270.0,15,0,270.0,15,0,270.0,15,0
20,1285208616,462,28,268.0,9,0,265.0,15,8,252.0,15,0,254.0,18,2
21,1801577322,462,28,264.0,7,0,352.0,14,3,209.0,16,0,312.0,16,2
22,-1616694264,462,28,302.0,28,0,259.0,17,5,261.0,15,0,222.0,19,4
23,-1693424100,462,28,384.0,17,0,322.0,17,2,217.0,14,0,255.0,18,3
24,2138484043,462,28,497.0,6,0,282.0,17,5,312.0,13,0,255.0,17,5
25,101577131,462,28,259.0,15,0,290.0,16,2,388.0,14,0,235.0,15,1
26,-133390871,462,28,510.0,9,0,215.0,9,2,358.0,9,0,343.0,9,2
27,-1945933360,462,28,291.0,10,0,289.0,13,2,255.0,11,0,258.0,11,2
28,-798261834,462,28,511.0,15,0,259.0,28,2,270.0,20,0,320.0,26,2
29,2000697554,462,28,279.0,10,0,269.0,16,5,222.0,21,0,278.0,15,3
30,-943854494,462,28,261.0,16,0,293.0,10,0,293.0,10,0,293.0,10,0
31,-234466439,462,28,268.0,13,0,329.0,8,2,259.0,10,0,254.0,12,2
32,914039496,462,28,258.0,17,0,259.0,14,2,315.0,15,0,332.0,14,2
33,-83766939,462,28,298.0,19,0,274.0,15,2,251.0,15,0,440.0,15,2
34,-1665849326,462,28,265.0,10,0,385.0,13,3,284.0,14,0,270.0,13,3
35,703733421,462,28,276.0,13,0,323.0,12,5,278.0,14,0,284.0,13,3
36,1036445815,462,28,318.0,7,0,266.0,18,1,292.0,18,0,268.0,20,1
37,-1625235350,462,28,264.0,14,0,284.0,16,2,266.0,14,0,216.0,17,2
38,534493799,462,28,379.0,10,0,254.0,7,2,259.0,7,0,264.0,7,2
39,-88699042,462,28,496.0,8,0,377.0,14,3,291.0,16,0,380.0,11,3
40,-1820001899,462,28,269.0,9,0,277.0,22,0,277.0,22,0,277.0,22,0
41,-867819109,462,28,217.0,19,0,329.0,19,3,283.0,17,0,255.0,18,2
42,145909138,462,28,273.0,21,0,374.0,16,1,292.0,13,0,226.0,12,1
43,-140532718,462,28,327.0,12,0,264.0,18,2,334.0,17,0,271.0,17,4
44,-448503261,462,28,271.0,14,0,262.0,4,0,262.0,4,0,262.0,4,0
45,-1947265436,462,28,278.0,10,0,253.0,13,6,267.0,15,0,233.0,13,2
46,335383081,462,28,330.0,17,0,261.0,17,0,261.0,17,0,261.0,17,0
47,-1741184120,462,28,491.0,5,0,383.0,19,3,323.0,21,0,326.0,16,2
48,-1576749385,462,28,265.0,15,0,259.0,13,3,323.0,16,0,220.0,14,2
49,2118115172,462,28,379.0,22,0,299.0,13,3,292.0,12,0,258.0,12,3
