,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,361286087,462,28,268.0,22,0,323.0,17,0,323.0,17,0,323.0,17,0
1,1478747075,462,28,257.0,13,0,278.0,8,2,564.0,6,0,262.0,7,2
2,-1239389089,462,28,269.0,10,0,223.0,8,1,312.0,9,0,271.0,7,4
3,-1242379448,462,28,317.0,23,0,269.0,14,2,307.0,21,0,315.0,15,2
4,1469210180,462,28,265.0,11,0,269.0,13,1,320.0,13,0,428.0,14,1
5,1552389514,462,28,258.0,20,0,337.0,14,3,259.0,15,0,340.0,16,1
6,1344558716,462,28,504.0,11,0,255.0,12,0,255.0,12,0,255.0,12,0
7,-288742478,462,28,263.0,12,0,258.0,13,3,386.0,13,0,251.0,11,3
8,-1438198554,462,28,260.0,6,0,266.0,19,0,266.0,19,0,266.0,19,0
9,-1091697362,462,28,271.0,11,0,270.0,20,0,270.0,20,0,270.0,20,0
10,-85489848,462,28,264.0,17,0,293.0,14,1,217.0,10,0,261.0,14,1
11,-1852405173,462,28,296.0,7,0,605.0,15,2,317.0,14,0,319.0,16,2
12,1046169599,462,28,499.0,12,0,270.0,21,2,252.0,20,0,383.0,16,2
13,1545215056,462,28,264.0,10,0,321.0,11,2,272.0,13,0,375.0,11,4
14,1502606762,462,28,284.0,16,0,311.0,9,1,337.0,9,0,253.0,9,0
15,1351598334,462,28,334.0,9,0,247.0,14,3,285.0,15,0,312.0,16,3
16,1324758313,462,28,259.0,17,0,281.0,18,2,313.0,17,0,275.0,21,2
17,-1756864340,462,28,256.0,14,0,264.0,16,0,264.0,16,0,264.0,16,0
18,424573347,462,28,239.0,13,0,269.0,10,1,326.0,8,0,374.0,9,1
19,2048237824,462,28,319.0,14,0,325.0,14,3,285.0,17,0,313.0,14,1
20,-836269385,462,28,366.0,11,0,279.0,16,3,251.0,10,0,603.0,13,3
21,-565152508,462,28,257.0,15,0,331.0,12,0,331.0,12,0,331.0,12,0
22,337601241,462,28,493.0,15,0,257.0,10,2,359.0,10,0,270.0,9,2
23,-311159546,462,28,255.0,17,0,363.0,13,3,260.0,14,0,258.0,15,2
24,-688696425,462,28,323.0,13,0,260.0,11,0,260.0,11,0,260.0,11,0
25,-1000338094,462,28,261.0,6,0,318.0,17,0,318.0,17,0,318.0,17,0
26,-433634337,462,28,500.0,17,0,647.0,11,0,647.0,11,0,647.0,11,0
27,-568086466,462,28,317.0,14,0,272.0,11,4,279.0,11,0,269.0,11,1
28,-975787269,462,28,255.0,10,0,293.0,11,1,318.0,10,0,223.0,9,1
29,-1175414750,462,28,381.0,18,0,208.0,12,4,212.0,11,0,210.0,11,6
30,-1119178865,462,28,262.0,14,0,291.0,17,1,400.0,14,0,315.0,18,2
31,1196149160,462,28,264.0,16,0,230.0,15,0,230.0,15,0,230.0,15,0
32,449370860,462,28,263.0,12,0,263.0,25,1,320.0,21,0,314.0,25,1
33,301458264,462,28,281.0,14,0,253.0,18,2,357.0,17,0,267.0,19,1
34,1974962857,462,28,260.0,14,0,379.0,12,1,378.0,10,0,318.0,12,1
35,734107609,462,28,283.0,7,0,260.0,13,2,347.0,13,0,268.0,15,2
36,-1471252960,462,28,374.0,15,0,210.0,8,2,262.0,11,0,262.0,10,4
37,-1153583617,462,28,262.0,13,0,290.0,12,3,260.0,10,0,319.0,15,3
38,-416656474,462,28,315.0,21,0,298.0,19,1,262.0,19,0,263.0,16,2
39,1120877018,462,28,254.0,13,0,259.0,13,2,376.0,13,0,428.0,11,1
40,-1635420087,462,28,365.0,10,0,261.0,21,2,315.0,20,0,323.0,22,1
41,-156918577,462,28,382.0,10,0,323.0,8,1,269.0,9,0,201.0,8,0
42,-486789486,462,28,275.0,21,0,262.0,15,2,273.0,16,0,285.0,16,2
43,-1960767959,462,28,496.0,13,0,269.0,16,2,256.0,17,0,284.0,17,1
44,1047818533,462,28,259.0,12,0,247.0,20,1,331.0,18,0,220.0,19,1
45,-543036583,462,28,270.0,14,0,264.0,23,1,261.0,21,0,276.0,23,0
46,2000580991,462,28,247.0,17,0,260.0,6,1,346.0,5,0,292.0,7,2
47,484922510,462,28,326.0,10,0,252.0,9,1,317.0,7,0,287.0,7,1
48,-697569715,462,28,321.0,18,0,269.0,14,1,301.0,15,0,256.0,14,1
49,-1719067313,462,28,490.0,13,0,592.0,10,4,389.0,6,0,272.0,9,2
