,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1090004563,477,39,501.0,16,0,260.0,18,1,321.0,18,0,275.0,18,1
1,2005105342,645,59,313.0,22,0,348.0,20,3,260.0,21,0,276.0,25,3
2,-1164965986,419,13,489.0,13,0,262.0,16,1,252.0,13,0,432.0,16,1
3,-64491492,245,3,256.0,8,0,378.0,10,0,378.0,10,0,378.0,10,0
4,-1215475131,562,51,357.0,17,0,293.0,16,0,293.0,16,0,293.0,16,0
5,-21058028,155,14,252.0,3,0,255.0,5,0,255.0,5,0,255.0,5,0
6,-126797599,207,17,247.0,7,0,260.0,14,0,260.0,14,0,260.0,14,0
7,401025768,680,14,269.0,23,0,314.0,15,7,322.0,16,0,239.0,14,6
8,1054881514,407,33,250.0,9,0,274.0,15,1,241.0,14,0,277.0,12,2
9,-1779953482,424,5,321.0,13,0,316.0,15,2,260.0,12,0,265.0,17,2
10,856368718,361,8,230.0,9,0,259.0,8,0,259.0,8,0,259.0,8,0
11,505356009,541,22,383.0,21,0,375.0,19,4,260.0,20,0,315.0,20,2
12,854748098,641,13,491.0,24,0,259.0,14,8,363.0,14,0,280.0,12,3
13,-1324339980,214,13,380.0,3,0,256.0,11,0,256.0,11,0,256.0,11,0
14,-2043420184,358,18,303.0,13,0,319.0,8,0,319.0,8,0,319.0,8,0
15,586819131,276,3,254.0,8,0,212.0,8,0,212.0,8,0,212.0,8,0
16,769466580,686,42,706.0,16,0,319.0,18,2,299.0,19,0,257.0,21,2
17,-1133995885,461,14,267.0,15,0,520.0,10,1,347.0,11,0,265.0,9,1
18,-1753194165,511,16,313.0,15,0,265.0,24,1,220.0,24,0,317.0,27,1
19,1495247816,521,27,446.0,12,0,281.0,20,2,326.0,13,0,340.0,12,2
20,-1544384472,522,16,311.0,17,0,319.0,30,1,260.0,26,0,256.0,28,1
21,200315400,299,21,261.0,11,0,222.0,4,0,222.0,4,0,222.0,4,0
22,-1228447525,389,4,236.0,8,0,263.0,10,1,340.0,10,0,253.0,6,0
23,-560650433,608,43,314.0,18,0,258.0,11,2,255.0,14,0,256.0,12,2
24,-1037388642,337,7,262.0,13,0,218.0,10,0,218.0,10,0,218.0,10,0
25,-1837595564,694,49,276.0,18,0,262.0,13,4,314.0,14,0,499.0,13,5
26,-2093525234,251,8,256.0,4,0,263.0,10,1,275.0,8,0,212.0,8,1
27,1645320376,261,27,262.0,9,0,234.0,9,0,234.0,9,0,234.0,9,0
28,-277252354,549,22,259.0,7,0,276.0,9,2,488.0,10,0,243.0,11,4
29,1069823554,335,7,261.0,7,0,338.0,6,1,250.0,7,0,267.0,6,1
30,-580079860,690,56,266.0,29,0,333.0,15,6,262.0,17,0,257.0,14,4
31,291154766,497,15,276.0,10,0,254.0,25,3,267.0,21,0,259.0,23,1
32,-1887113538,151,16,214.0,5,0,325.0,5,0,325.0,5,0,325.0,5,0
33,-655798053,585,53,299.0,17,0,216.0,29,2,280.0,25,0,317.0,27,2
34,1189371557,553,34,323.0,14,0,269.0,14,1,256.0,18,0,243.0,18,5
35,1518492285,208,13,254.0,6,0,273.0,9,0,273.0,9,0,273.0,9,0
36,99175480,369,30,267.0,15,0,255.0,9,1,234.0,11,0,205.0,9,2
37,-1170430801,296,3,264.0,12,0,349.0,10,0,349.0,10,0,349.0,10,0
38,-2077706167,429,31,317.0,8,0,313.0,20,1,316.0,19,0,295.0,16,2
39,-868281683,276,28,380.0,6,0,313.0,11,0,313.0,11,0,313.0,11,0
40,1444302214,435,44,268.0,15,0,271.0,11,2,275.0,10,0,481.0,10,4
41,719012778,481,25,392.0,9,0,258.0,9,2,272.0,12,0,318.0,8,3
42,627391251,348,18,269.0,10,0,281.0,7,0,281.0,7,0,281.0,7,0
43,864979051,473,48,257.0,16,0,273.0,13,5,259.0,13,0,268.0,13,6
44,-1392048774,239,12,320.0,11,0,274.0,5,1,213.0,6,0,248.0,7,1
45,1955613478,342,18,269.0,8,0,255.0,10,1,264.0,11,0,305.0,8,1
46,-193305430,279,9,254.0,2,0,273.0,10,0,273.0,10,0,273.0,10,0
47,-1188027149,168,2,315.0,2,0,254.0,6,0,254.0,6,0,254.0,6,0
48,1929112430,563,6,510.0,18,0,263.0,18,2,209.0,18,0,259.0,16,1
49,-1149215548,262,11,355.0,9,0,261.0,8,1,328.0,8,0,254.0,7,1
