,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1320210541,413,42,257.0,12,0,283.0,14,2,292.0,12,0,257.0,13,2
1,-1283875770,183,8,214.0,7,0,280.0,1,0,280.0,1,0,280.0,1,0
2,1262410891,322,20,252.0,6,0,294.0,8,5,256.0,9,0,258.0,9,2
3,-1382022719,498,50,275.0,11,0,260.0,8,1,375.0,7,0,248.0,8,1
4,-218290603,427,43,255.0,12,0,256.0,18,1,258.0,13,0,270.0,13,1
5,683934046,571,23,356.0,15,0,246.0,21,4,273.0,23,0,272.0,19,3
6,2122517018,153,7,251.0,12,0,295.0,4,0,295.0,4,0,295.0,4,0
7,516965997,569,6,268.0,16,0,242.0,10,2,259.0,10,0,259.0,10,2
8,1400665055,492,30,265.0,14,0,321.0,17,0,321.0,17,0,321.0,17,0
9,496576302,477,29,272.0,9,0,252.0,19,2,269.0,16,0,212.0,18,3
10,1694402311,559,17,394.0,17,0,439.0,12,2,345.0,15,0,242.0,15,2
11,1844223375,366,30,258.0,12,0,343.0,13,0,343.0,13,0,343.0,13,0
12,1098140047,243,15,262.0,7,0,254.0,4,0,254.0,4,0,254.0,4,0
13,1506138368,454,28,256.0,19,0,257.0,8,3,312.0,7,0,254.0,9,1
14,915187857,568,12,264.0,16,0,263.0,11,2,251.0,9,0,323.0,12,2
15,1068362342,319,23,277.0,8,0,254.0,6,0,254.0,6,0,254.0,6,0
16,1985046152,384,27,318.0,10,0,219.0,7,0,219.0,7,0,219.0,7,0
17,-1972192272,604,55,273.0,23,0,281.0,31,2,300.0,34,0,322.0,34,2
18,-1573314697,573,23,489.0,12,0,267.0,16,5,260.0,16,0,314.0,18,4
19,1569279681,533,48,320.0,23,0,400.0,12,7,353.0,15,0,298.0,13,4
20,-613353146,592,12,300.0,18,0,379.0,29,1,294.0,26,0,376.0,33,1
21,1668860106,204,5,260.0,6,0,240.0,7,0,240.0,7,0,240.0,7,0
22,-1085011874,294,24,254.0,8,0,309.0,9,1,379.0,9,0,281.0,9,1
23,-694851030,302,22,384.0,13,0,260.0,15,0,260.0,15,0,260.0,15,0
24,-1820058682,241,3,201.0,6,0,227.0,4,0,227.0,4,0,227.0,4,0
25,1578645140,566,46,368.0,13,0,315.0,20,4,290.0,14,0,261.0,20,4
26,-354762939,478,34,261.0,13,0,286.0,10,1,375.0,10,0,256.0,10,1
27,-1770402455,229,10,241.0,13,0,253.0,11,1,244.0,10,0,321.0,10,1
28,501704905,585,24,544.0,7,0,264.0,8,5,335.0,7,0,316.0,10,5
29,418722040,404,5,259.0,18,0,323.0,10,2,261.0,13,0,318.0,13,1
30,1831010988,665,60,270.0,30,0,295.0,16,5,322.0,17,0,250.0,17,6
31,-440136402,468,29,288.0,17,0,330.0,21,0,330.0,21,0,330.0,21,0
32,1019905721,592,12,272.0,13,0,291.0,12,2,258.0,12,0,322.0,12,2
33,1025054314,286,6,257.0,7,0,251.0,3,1,315.0,4,0,261.0,6,0
34,-1155369039,373,4,316.0,5,0,252.0,4,2,349.0,5,0,325.0,3,2
35,1112316987,451,41,260.0,16,0,281.0,18,0,281.0,18,0,281.0,18,0
36,-1343573330,629,63,503.0,16,0,287.0,24,3,266.0,25,0,215.0,24,3
37,681092875,417,38,248.0,7,0,267.0,14,2,259.0,13,0,218.0,12,1
38,1261056307,677,7,297.0,13,0,276.0,20,5,265.0,18,0,306.0,18,4
39,-258268128,417,13,271.0,10,0,223.0,19,2,252.0,16,0,318.0,16,2
40,-1697704571,296,3,254.0,13,0,337.0,4,0,337.0,4,0,337.0,4,0
41,1793140257,545,6,268.0,23,0,304.0,13,5,316.0,11,0,268.0,11,6
42,-1361065759,190,18,250.0,9,0,254.0,7,0,254.0,7,0,254.0,7,0
43,-91286474,328,30,258.0,8,0,264.0,6,1,273.0,5,0,322.0,8,2
44,-1923250908,553,50,257.0,17,0,257.0,24,0,257.0,24,0,257.0,24,0
45,2051482931,156,16,198.0,5,0,317.0,3,1,205.0,3,0,235.0,4,1
46,1851512136,363,37,312.0,10,0,257.0,8,2,325.0,7,0,261.0,10,2
47,-1399049618,491,5,218.0,33,0,267.0,11,3,264.0,10,0,314.0,9,2
48,122746436,348,11,312.0,14,0,347.0,9,2,260.0,8,0,254.0,12,2
49,879717399,246,10,300.0,11,0,250.0,9,1,251.0,12,0,378.0,12,2
