,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-432715202,677,7,1,310.0,27,0,282.0,28,4,330.0,26,0,320.0,25,4
1,-738608701,680,7,1,499.0,17,0,316.0,30,8,332.0,28,0,258.0,27,5
2,355382278,349,18,1,320.0,4,0,496.0,11,1,288.0,9,0,319.0,10,1
3,-127423018,483,5,1,380.0,16,0,292.0,15,2,310.0,13,0,396.0,13,3
4,-2122707927,578,41,1,382.0,13,0,295.0,17,5,268.0,16,0,335.0,14,6
5,-776195569,463,19,1,313.0,13,0,309.0,15,3,347.0,14,0,254.0,17,3
6,427423115,639,7,1,285.0,17,0,260.0,11,2,272.0,12,0,315.0,12,4
7,-2071811181,694,56,1,502.0,28,0,273.0,18,3,443.0,20,0,383.0,21,4
8,-1295733592,164,4,1,373.0,9,0,211.0,4,0,211.0,4,0,211.0,4,0
9,367022729,634,20,1,306.0,19,0,267.0,12,5,369.0,14,0,326.0,13,2
10,-1898223452,392,24,1,348.0,12,0,378.0,17,1,383.0,17,0,386.0,14,3
11,-1177591447,649,46,1,516.0,19,0,404.0,24,5,464.0,21,0,318.0,27,4
12,-592937880,316,7,1,403.0,10,0,316.0,9,0,316.0,9,0,316.0,9,0
13,-901739022,395,36,1,317.0,12,0,253.0,7,3,291.0,8,0,221.0,5,3
14,-847097048,155,13,1,377.0,2,0,272.0,3,1,316.0,3,0,258.0,4,1
15,1688597424,450,23,1,319.0,7,0,243.0,13,1,334.0,15,0,372.0,15,1
16,-178185998,493,30,1,351.0,11,0,319.0,24,1,409.0,18,0,270.0,18,2
17,-156250737,195,6,1,334.0,4,0,380.0,4,0,380.0,4,0,380.0,4,0
18,-1964567553,446,5,1,301.0,8,0,261.0,10,3,341.0,11,0,260.0,9,3
19,-1499020089,217,18,1,261.0,4,0,401.0,4,0,401.0,4,0,401.0,4,0
20,643738969,480,10,1,271.0,10,0,330.0,14,3,496.0,15,0,343.0,13,4
21,1600837545,329,20,1,265.0,4,0,313.0,5,1,276.0,5,0,211.0,5,1
22,-1202904442,616,56,1,270.0,23,0,368.0,32,4,275.0,30,0,276.0,35,2
23,1442983340,515,16,1,262.0,12,0,312.0,18,3,438.0,17,0,392.0,18,4
24,359665779,632,45,1,739.0,18,0,268.0,16,5,399.0,18,0,394.0,19,5
25,1358012239,593,60,1,285.0,16,0,284.0,12,2,470.0,15,0,278.0,12,4
26,-1390805084,205,21,1,291.0,4,0,369.0,8,0,369.0,8,0,369.0,8,0
27,1161546760,319,20,1,290.0,11,0,265.0,6,0,265.0,6,0,265.0,6,0
28,-117841969,509,46,1,316.0,10,0,344.0,22,2,321.0,19,0,330.0,22,1
29,1526701369,317,32,1,266.0,11,0,262.0,8,0,262.0,8,0,262.0,8,0
30,-434359269,471,5,1,312.0,9,0,326.0,9,2,320.0,13,0,315.0,11,3
31,1245274818,447,36,1,348.0,10,0,357.0,12,2,336.0,14,0,263.0,13,1
32,-577523393,338,14,1,345.0,10,0,375.0,12,2,366.0,16,0,261.0,13,3
33,1904009959,598,54,1,439.0,43,0,266.0,13,3,259.0,9,0,268.0,15,4
34,-565252028,284,20,1,380.0,9,0,260.0,5,0,260.0,5,0,260.0,5,0
35,-366138300,200,6,1,325.0,15,0,319.0,6,0,319.0,6,0,319.0,6,0
36,-1476256839,501,21,1,283.0,11,0,260.0,13,3,375.0,13,0,264.0,15,3
37,886485321,184,10,1,248.0,3,0,407.0,4,1,265.0,3,0,282.0,4,1
38,-959696466,261,24,1,565.0,6,0,376.0,8,0,376.0,8,0,376.0,8,0
39,1156409061,269,3,1,601.0,7,0,269.0,8,0,269.0,8,0,269.0,8,0
40,1832815403,185,19,1,254.0,7,0,260.0,5,1,341.0,5,0,318.0,6,1
41,-1553075249,303,31,1,316.0,18,0,323.0,6,1,323.0,9,0,258.0,8,1
42,-346901402,365,8,1,302.0,12,0,498.0,6,2,312.0,8,0,272.0,8,2
43,284009734,621,19,1,275.0,23,0,258.0,30,4,434.0,28,0,273.0,30,4
44,-1833045278,239,17,1,348.0,7,0,386.0,7,1,376.0,7,0,434.0,7,1
45,1718959982,502,16,1,311.0,20,0,280.0,15,1,264.0,15,0,368.0,16,1
46,1602524618,337,21,1,261.0,19,0,242.0,7,0,242.0,7,0,242.0,7,0
47,-526118414,477,39,1,337.0,20,0,266.0,19,2,466.0,18,0,279.0,18,2
48,-1724164587,346,21,1,262.0,13,0,256.0,13,1,273.0,11,0,401.0,12,1
49,764086956,225,3,1,313.0,12,0,256.0,8,0,256.0,8,0,256.0,8,0
