,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1830378514,623,19,1,312.0,15,0,500.0,17,3,317.0,17,0,296.0,17,3
1,880195116,368,12,1,266.0,7,0,257.0,8,0,257.0,8,0,257.0,8,0
2,2131092230,160,15,1,264.0,3,0,318.0,2,0,318.0,2,0,318.0,2,0
3,-69306384,270,9,1,319.0,12,0,213.0,9,0,213.0,9,0,213.0,9,0
4,1926051043,418,17,1,267.0,16,0,386.0,22,0,386.0,22,0,386.0,22,0
5,-2113509016,232,5,1,222.0,12,0,346.0,11,0,346.0,11,0,346.0,11,0
6,77813203,174,16,1,325.0,2,0,250.0,3,0,250.0,3,0,250.0,3,0
7,374550582,631,57,1,279.0,15,0,326.0,18,4,280.0,14,0,355.0,17,6
8,2080742198,376,19,1,267.0,7,0,264.0,8,1,220.0,8,0,350.0,8,2
9,-1538268286,267,22,1,292.0,9,0,368.0,7,0,368.0,7,0,368.0,7,0
10,-1009945389,261,24,1,285.0,5,0,391.0,6,1,323.0,6,0,326.0,3,1
11,-1989433588,378,19,1,289.0,15,0,464.0,11,0,464.0,11,0,464.0,11,0
12,-1215081124,255,13,1,377.0,3,0,259.0,7,0,259.0,7,0,259.0,7,0
13,-916518580,164,4,1,366.0,9,0,387.0,0,0,387.0,0,0,387.0,0,0
14,-981648649,242,17,1,264.0,9,0,213.0,3,0,213.0,3,0,213.0,3,0
15,1946405493,454,19,1,371.0,14,0,378.0,18,3,315.0,18,0,492.0,18,3
16,973950948,559,56,1,494.0,21,0,364.0,33,1,274.0,32,0,306.0,26,1
17,-1151020351,165,7,1,315.0,4,0,335.0,4,0,335.0,4,0,335.0,4,0
18,-1256605228,351,32,1,317.0,5,0,260.0,9,0,260.0,9,0,260.0,9,0
19,-2025371120,567,29,1,324.0,16,0,383.0,17,2,255.0,17,0,381.0,16,2
20,-636884534,327,10,1,374.0,12,0,340.0,11,1,258.0,11,0,312.0,14,0
21,-2083649272,532,38,1,260.0,21,0,317.0,16,10,262.0,15,0,264.0,14,3
22,1804280630,336,21,1,375.0,9,0,393.0,10,2,262.0,9,0,260.0,7,1
23,-107486826,286,21,1,254.0,9,0,322.0,10,0,322.0,10,0,322.0,10,0
24,816196782,163,15,1,341.0,2,0,318.0,2,0,318.0,2,0,318.0,2,0
25,902799094,448,14,1,264.0,11,0,263.0,7,1,360.0,10,0,378.0,7,1
26,71407048,350,28,1,273.0,6,0,332.0,13,0,332.0,13,0,332.0,13,0
27,249356514,671,34,1,376.0,14,0,377.0,11,6,395.0,13,0,276.0,13,7
28,1898796653,544,39,1,319.0,25,0,296.0,14,1,392.0,14,0,329.0,17,1
29,-105893048,336,11,1,269.0,13,0,263.0,15,0,263.0,15,0,263.0,15,0
30,690148456,389,16,1,319.0,8,0,261.0,7,0,261.0,7,0,261.0,7,0
31,-1479308859,546,11,1,361.0,15,0,259.0,16,2,315.0,16,0,370.0,16,1
32,2045411116,161,12,1,325.0,3,0,284.0,5,0,284.0,5,0,284.0,5,0
33,-1856465136,588,53,1,504.0,19,0,315.0,10,4,398.0,11,0,271.0,11,4
34,-1901886918,684,55,1,499.0,18,0,329.0,15,4,380.0,14,0,265.0,15,6
35,-802567248,660,47,1,286.0,16,0,365.0,27,4,338.0,25,0,280.0,22,3
36,1238598307,183,10,1,317.0,4,0,263.0,8,0,263.0,8,0,263.0,8,0
37,749536969,226,7,1,319.0,6,0,328.0,9,1,261.0,6,0,265.0,8,1
38,-1198786919,318,29,1,287.0,10,0,262.0,8,4,274.0,10,0,255.0,8,4
39,-1280677173,478,29,1,498.0,9,0,301.0,10,3,379.0,9,0,287.0,9,1
40,533423341,433,18,1,487.0,10,0,313.0,29,2,258.0,28,0,262.0,37,2
41,-459055469,329,10,1,381.0,14,0,270.0,11,1,316.0,14,0,222.0,11,1
42,1025846225,304,7,1,318.0,6,0,320.0,5,1,281.0,5,0,253.0,1,1
43,2081945749,194,2,1,264.0,4,0,206.0,7,0,206.0,7,0,206.0,7,0
44,42840780,212,22,1,382.0,7,0,261.0,3,0,261.0,3,0,261.0,3,0
45,-1326230473,248,10,1,288.0,2,0,318.0,10,0,318.0,10,0,318.0,10,0
46,-815020187,674,27,1,264.0,16,0,286.0,26,7,271.0,32,0,318.0,29,4
47,-1708572548,660,14,1,260.0,14,0,281.0,19,2,340.0,26,0,254.0,24,5
48,2082958738,578,6,1,306.0,21,0,270.0,24,4,258.0,22,0,282.0,21,4
49,1280576799,546,22,1,520.0,10,0,349.0,12,2,283.0,14,0,396.0,12,2
