,random_seed,random_pass,random_staff,random_normal_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,378477150,800,1,8,498.0,26,0,258.0,19,6,222.0,20,0,256.0,18,4
1,-1280640748,800,1,8,263.0,19,0,375.0,22,8,378.0,23,0,380.0,25,4
2,2072074494,800,1,8,264.0,25,0,267.0,28,4,357.0,27,0,375.0,28,4
3,-1049153004,800,1,8,364.0,25,0,376.0,13,11,316.0,12,0,329.0,10,4
4,984265965,800,1,8,297.0,11,0,315.0,23,6,315.0,22,0,252.0,23,10
5,-842345697,800,1,8,320.0,9,0,262.0,13,9,322.0,14,0,334.0,19,8
6,1359984526,800,1,8,257.0,26,0,359.0,30,6,300.0,28,0,262.0,27,5
7,514389020,800,1,8,319.0,28,0,256.0,18,14,308.0,18,0,314.0,18,6
8,1796101260,800,1,8,335.0,24,0,257.0,19,10,301.0,18,0,261.0,21,5
9,1762601221,800,1,8,305.0,28,0,275.0,23,8,282.0,21,0,467.0,24,6
10,1299393056,800,1,8,319.0,28,0,309.0,23,11,260.0,20,0,251.0,18,5
11,1438841467,800,1,8,267.0,26,0,492.0,28,4,255.0,33,0,269.0,30,3
12,-1279963213,800,1,8,289.0,24,0,270.0,22,3,261.0,22,0,273.0,22,3
13,698116508,800,1,8,496.0,25,0,431.0,11,7,251.0,12,0,317.0,14,8
14,-1070104472,800,1,8,267.0,30,0,263.0,31,3,315.0,36,0,256.0,28,3
15,1429074903,800,1,8,268.0,25,0,321.0,35,4,277.0,31,0,255.0,27,1
16,578729018,800,1,8,506.0,17,0,363.0,19,6,261.0,24,0,285.0,25,7
17,-439881119,800,1,8,286.0,22,0,268.0,21,8,289.0,24,0,325.0,26,5
18,-500043904,800,1,8,295.0,20,0,264.0,23,4,261.0,25,0,264.0,22,3
19,-620802247,800,1,8,284.0,23,0,227.0,30,10,278.0,32,0,249.0,29,4
20,-493081593,800,1,8,316.0,23,0,348.0,22,10,289.0,21,0,325.0,21,6
21,1539497230,800,1,8,502.0,31,0,351.0,16,10,312.0,15,0,258.0,17,5
22,-562206880,800,1,8,301.0,19,0,318.0,25,7,266.0,23,0,260.0,21,4
23,65239294,800,1,8,261.0,27,0,343.0,34,8,315.0,32,0,241.0,33,3
24,1428568662,800,1,8,258.0,17,0,275.0,18,3,357.0,22,0,348.0,19,4
25,256691664,800,1,8,298.0,24,0,322.0,24,4,300.0,26,0,258.0,26,4
26,-886023940,800,1,8,266.0,36,0,319.0,21,11,291.0,18,0,317.0,20,7
27,287276473,800,1,8,738.0,25,0,324.0,15,5,316.0,15,0,383.0,15,6
28,-321475756,800,1,8,340.0,34,0,320.0,29,9,315.0,28,0,239.0,26,9
29,1196317770,800,1,8,272.0,22,0,234.0,26,3,294.0,24,0,432.0,25,2
30,-743655797,800,1,8,317.0,37,0,302.0,47,0,302.0,47,0,302.0,47,0
31,653442307,800,1,8,260.0,22,0,311.0,14,11,373.0,13,0,234.0,11,11
32,502252806,800,1,8,381.0,26,0,386.0,18,8,265.0,15,0,372.0,18,5
33,-1128297628,800,1,8,268.0,33,0,296.0,34,5,311.0,30,0,495.0,30,8
34,-1156418758,800,1,8,503.0,26,0,265.0,19,4,462.0,17,0,263.0,18,4
35,812096726,800,1,8,558.0,24,0,346.0,23,5,270.0,21,0,298.0,20,5
36,-458352417,800,1,8,278.0,28,0,262.0,30,7,279.0,28,0,278.0,39,3
37,-212382565,800,1,8,304.0,26,0,375.0,22,8,315.0,22,0,253.0,22,10
38,-494463406,800,1,8,270.0,14,0,254.0,24,9,297.0,25,0,257.0,21,5
39,-1787781171,800,1,8,299.0,8,0,259.0,20,4,342.0,20,0,257.0,21,5
40,1758116827,800,1,8,266.0,19,0,313.0,33,10,230.0,22,0,381.0,26,6
41,1594174279,800,1,8,261.0,23,0,255.0,25,2,258.0,24,0,279.0,22,2
42,-861264672,800,1,8,501.0,17,0,259.0,27,8,311.0,25,0,248.0,23,3
43,-580519439,800,1,8,495.0,24,0,258.0,26,5,301.0,21,0,351.0,22,1
44,-1198383708,800,1,8,528.0,20,0,355.0,23,6,294.0,21,0,376.0,20,4
45,-2081216418,800,1,8,256.0,23,0,260.0,39,6,299.0,32,0,257.0,32,2
46,100994196,800,1,8,266.0,20,0,321.0,32,4,225.0,35,0,308.0,26,8
47,-2109840937,800,1,8,297.0,23,0,222.0,29,8,259.0,27,0,266.0,28,3
48,2067262664,800,1,8,294.0,21,0,258.0,25,8,516.0,21,0,275.0,18,1
49,260344632,800,1,8,293.0,23,0,358.0,30,11,371.0,33,0,271.0,32,9
