,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,262.0,1,581,-636414598,35,500.0,1,581,-636414598,35,322.0,1,581,-636414598,35,435.0,1,581,-636414598,35
1,298.0,1,570,-144377554,57,527.0,1,570,-144377554,57,321.0,1,570,-144377554,57,273.0,1,570,-144377554,57
2,332.0,1,268,622837519,9,376.0,1,268,622837519,9,261.0,1,268,622837519,9,261.0,1,268,622837519,9
3,371.0,1,439,-2020309775,40,264.0,1,439,-2020309775,40,320.0,1,439,-2020309775,40,385.0,1,439,-2020309775,40
4,287.0,1,416,1961230132,21,428.0,1,416,1961230132,21,296.0,1,416,1961230132,21,284.0,1,416,1961230132,21
5,240.0,1,565,-211402825,57,498.0,1,565,-211402825,57,275.0,1,565,-211402825,57,531.0,1,565,-211402825,57
6,288.0,1,508,-1970819412,11,513.0,1,508,-1970819412,11,288.0,1,508,-1970819412,11,288.0,1,508,-1970819412,11
7,288.0,1,634,-707936637,58,510.0,1,634,-707936637,58,285.0,1,634,-707936637,58,326.0,1,634,-707936637,58
8,281.0,1,670,802244171,41,319.0,1,670,802244171,41,280.0,1,670,802244171,41,337.0,1,670,802244171,41
9,363.0,1,195,941501113,20,327.0,1,195,941501113,20,363.0,1,195,941501113,20,363.0,1,195,941501113,20
10,371.0,1,375,-547246007,23,309.0,1,375,-547246007,23,418.0,1,375,-547246007,23,277.0,1,375,-547246007,23
11,319.0,1,471,-1084277930,15,320.0,1,471,-1084277930,15,282.0,1,471,-1084277930,15,263.0,1,471,-1084277930,15
12,281.0,1,465,966709193,38,356.0,1,465,966709193,38,278.0,1,465,966709193,38,403.0,1,465,966709193,38
13,449.0,1,384,-271287009,24,258.0,1,384,-271287009,24,285.0,1,384,-271287009,24,262.0,1,384,-271287009,24
14,288.0,1,636,-1118666076,51,280.0,1,636,-1118666076,51,293.0,1,636,-1118666076,51,259.0,1,636,-1118666076,51
15,501.0,1,607,-382208423,61,411.0,1,607,-382208423,61,686.0,1,607,-382208423,61,623.0,1,607,-382208423,61
16,434.0,1,617,1736732045,7,263.0,1,617,1736732045,7,313.0,1,617,1736732045,7,313.0,1,617,1736732045,7
17,270.0,1,511,-1389311645,21,384.0,1,511,-1389311645,21,354.0,1,511,-1389311645,21,321.0,1,511,-1389311645,21
18,291.0,1,327,-802755358,4,265.0,1,327,-802755358,4,298.0,1,327,-802755358,4,329.0,1,327,-802755358,4
19,319.0,1,217,-2089102351,22,315.0,1,217,-2089102351,22,319.0,1,217,-2089102351,22,319.0,1,217,-2089102351,22
20,265.0,1,379,-881576388,23,377.0,1,379,-881576388,23,265.0,1,379,-881576388,23,265.0,1,379,-881576388,23
21,319.0,1,321,-1299009011,20,376.0,1,321,-1299009011,20,319.0,1,321,-1299009011,20,319.0,1,321,-1299009011,20
22,286.0,1,696,-732904252,14,319.0,1,696,-732904252,14,272.0,1,696,-732904252,14,276.0,1,696,-732904252,14
23,383.0,1,397,1785760999,20,498.0,1,397,1785760999,20,266.0,1,397,1785760999,20,266.0,1,397,1785760999,20
24,266.0,1,280,-1918483353,26,370.0,1,280,-1918483353,26,390.0,1,280,-1918483353,26,381.0,1,280,-1918483353,26
25,294.0,1,643,-484581576,65,460.0,1,643,-484581576,65,259.0,1,643,-484581576,65,274.0,1,643,-484581576,65
26,278.0,1,366,1761883492,11,450.0,1,366,1761883492,11,380.0,1,366,1761883492,11,268.0,1,366,1761883492,11
27,273.0,1,416,865419081,13,500.0,1,416,865419081,13,482.0,1,416,865419081,13,311.0,1,416,865419081,13
28,317.0,1,198,947667173,16,313.0,1,198,947667173,16,317.0,1,198,947667173,16,317.0,1,198,947667173,16
29,333.0,1,460,200499191,23,438.0,1,460,200499191,23,333.0,1,460,200499191,23,333.0,1,460,200499191,23
30,499.0,1,455,907616141,19,265.0,1,455,907616141,19,322.0,1,455,907616141,19,369.0,1,455,907616141,19
31,262.0,1,577,-1539360245,24,495.0,1,577,-1539360245,24,289.0,1,577,-1539360245,24,349.0,1,577,-1539360245,24
32,499.0,1,693,-968870907,35,267.0,1,693,-968870907,35,266.0,1,693,-968870907,35,317.0,1,693,-968870907,35
33,509.0,1,695,2047261428,14,333.0,1,695,2047261428,14,317.0,1,695,2047261428,14,314.0,1,695,2047261428,14
34,377.0,1,418,-1383619077,26,262.0,1,418,-1383619077,26,318.0,1,418,-1383619077,26,526.0,1,418,-1383619077,26
35,252.0,1,171,-1673939560,18,244.0,1,171,-1673939560,18,252.0,1,171,-1673939560,18,252.0,1,171,-1673939560,18
36,251.0,1,451,-1546047848,14,279.0,1,451,-1546047848,14,251.0,1,451,-1546047848,14,251.0,1,451,-1546047848,14
37,271.0,1,654,-639523459,33,507.0,1,654,-639523459,33,492.0,1,654,-639523459,33,482.0,1,654,-639523459,33
38,373.0,1,552,616432408,34,314.0,1,552,616432408,34,491.0,1,552,616432408,34,330.0,1,552,616432408,34
39,416.0,1,447,1990711577,27,338.0,1,447,1990711577,27,323.0,1,447,1990711577,27,379.0,1,447,1990711577,27
40,504.0,1,554,-564383954,17,376.0,1,554,-564383954,17,429.0,1,554,-564383954,17,344.0,1,554,-564383954,17
41,327.0,1,525,-14800996,48,266.0,1,525,-14800996,48,377.0,1,525,-14800996,48,499.0,1,525,-14800996,48
42,375.0,1,373,-1554531125,15,260.0,1,373,-1554531125,15,318.0,1,373,-1554531125,15,320.0,1,373,-1554531125,15
43,315.0,1,232,-704556922,10,318.0,1,232,-704556922,10,315.0,1,232,-704556922,10,315.0,1,232,-704556922,10
44,386.0,1,538,2133272787,54,375.0,1,538,2133272787,54,319.0,1,538,2133272787,54,425.0,1,538,2133272787,54
45,434.0,1,577,1187882522,52,294.0,1,577,1187882522,52,376.0,1,577,1187882522,52,288.0,1,577,1187882522,52
46,326.0,1,497,-550593523,20,260.0,1,497,-550593523,20,320.0,1,497,-550593523,20,318.0,1,497,-550593523,20
47,435.0,1,605,519328969,19,312.0,1,605,519328969,19,326.0,1,605,519328969,19,313.0,1,605,519328969,19
48,337.0,1,392,-1398705372,32,455.0,1,392,-1398705372,32,328.0,1,392,-1398705372,32,317.0,1,392,-1398705372,32
49,378.0,1,204,-1747300374,9,250.0,1,204,-1747300374,9,378.0,1,204,-1747300374,9,378.0,1,204,-1747300374,9
