,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,282.0,8,800,-1565903087,1,401.0,8,800,-1259051969,1,294.0,8,800,-140796563,1,258.0,8,800,-1162836988,1
1,238.0,8,800,-1658735134,1,268.0,8,800,-1795662404,1,318.0,8,800,1443317502,1,223.0,8,800,1653348714,1
2,284.0,8,800,1610107033,1,353.0,8,800,636413571,1,237.0,8,800,906762722,1,312.0,8,800,126488869,1
3,261.0,8,800,78033669,1,286.0,8,800,1502402924,1,318.0,8,800,-1166759269,1,391.0,8,800,-779028570,1
4,332.0,8,800,-329599546,1,325.0,8,800,-1664341666,1,264.0,8,800,-278705238,1,316.0,8,800,139189556,1
5,297.0,8,800,-1595444394,1,291.0,8,800,196535825,1,317.0,8,800,-1802141758,1,342.0,8,800,1534576984,1
6,228.0,8,800,1331743500,1,487.0,8,800,2047825294,1,286.0,8,800,-2022809008,1,313.0,8,800,-1924259875,1
7,300.0,8,800,1075821302,1,495.0,8,800,1296379128,1,374.0,8,800,1433717993,1,316.0,8,800,1379363351,1
8,259.0,8,800,-769155734,1,346.0,8,800,1447760891,1,310.0,8,800,1184438585,1,346.0,8,800,-338769950,1
9,340.0,8,800,-48294882,1,350.0,8,800,1202457964,1,250.0,8,800,776031484,1,346.0,8,800,-947612685,1
10,308.0,8,800,204305825,1,268.0,8,800,-86318234,1,318.0,8,800,79244950,1,272.0,8,800,1932726332,1
11,253.0,8,800,-800299763,1,259.0,8,800,1096592821,1,299.0,8,800,1601472720,1,253.0,8,800,-1911686686,1
12,260.0,8,800,2117076291,1,505.0,8,800,385056472,1,251.0,8,800,-828691280,1,256.0,8,800,2060338641,1
13,340.0,8,800,-795400477,1,295.0,8,800,748208733,1,261.0,8,800,-516235961,1,226.0,8,800,-905398254,1
14,253.0,8,800,511919518,1,500.0,8,800,1288419615,1,279.0,8,800,-864642606,1,218.0,8,800,727356988,1
15,256.0,8,800,846252592,1,298.0,8,800,1674906101,1,315.0,8,800,-1050443428,1,400.0,8,800,1803529682,1
16,299.0,8,800,-1129374371,1,498.0,8,800,-1467361032,1,257.0,8,800,-799609180,1,291.0,8,800,714190390,1
17,255.0,8,800,1006929109,1,525.0,8,800,-811052986,1,300.0,8,800,-1343612243,1,460.0,8,800,-1561979490,1
18,296.0,8,800,-1630396474,1,297.0,8,800,-515458645,1,317.0,8,800,-1884166753,1,533.0,8,800,-1500138145,1
19,264.0,8,800,-1166418851,1,276.0,8,800,-1847078739,1,342.0,8,800,376576586,1,241.0,8,800,717616015,1
20,373.0,8,800,1020372645,1,509.0,8,800,-1400115910,1,255.0,8,800,-1637357358,1,330.0,8,800,1114695926,1
21,375.0,8,800,1314631267,1,495.0,8,800,-1686991236,1,371.0,8,800,-980182340,1,374.0,8,800,-1719294519,1
22,399.0,8,800,1443422279,1,273.0,8,800,1960685323,1,308.0,8,800,-667902054,1,318.0,8,800,1062434636,1
23,235.0,8,800,-411302638,1,318.0,8,800,1123982855,1,257.0,8,800,-650351219,1,297.0,8,800,-1954656830,1
24,212.0,8,800,902916270,1,292.0,8,800,303790722,1,318.0,8,800,514690227,1,260.0,8,800,1070405729,1
25,322.0,8,800,1914331519,1,332.0,8,800,1763376934,1,295.0,8,800,-597043775,1,373.0,8,800,-1496812101,1
26,372.0,8,800,-48916718,1,271.0,8,800,1115165835,1,319.0,8,800,-437345695,1,258.0,8,800,-1844447391,1
27,255.0,8,800,-1215355115,1,514.0,8,800,522939360,1,256.0,8,800,-201001224,1,323.0,8,800,25086218,1
28,309.0,8,800,-1773733769,1,262.0,8,800,1620885394,1,281.0,8,800,-56264548,1,307.0,8,800,-641409138,1
29,273.0,8,800,754976394,1,511.0,8,800,-22868380,1,225.0,8,800,304549198,1,207.0,8,800,4734830,1
30,315.0,8,800,766100332,1,262.0,8,800,-1664385450,1,307.0,8,800,-1183960042,1,291.0,8,800,-1232507965,1
31,258.0,8,800,1631290170,1,282.0,8,800,-1864028637,1,295.0,8,800,144727697,1,372.0,8,800,1192227800,1
32,257.0,8,800,269113767,1,749.0,8,800,-593709665,1,296.0,8,800,1727317381,1,335.0,8,800,293473210,1
