,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,267.0,1,415,-678086724,42,271.0,1,415,-678086724,42,332.0,1,415,-678086724,42,276.0,1,415,-678086724,42
1,294.0,1,445,-478670124,18,280.0,1,445,-478670124,18,259.0,1,445,-478670124,18,261.0,1,445,-478670124,18
2,494.0,1,598,1826227404,60,379.0,1,598,1826227404,60,277.0,1,598,1826227404,60,276.0,1,598,1826227404,60
3,273.0,1,157,-898287396,5,311.0,1,157,-898287396,5,273.0,1,157,-898287396,5,273.0,1,157,-898287396,5
4,342.0,1,635,2074328180,39,319.0,1,635,2074328180,39,395.0,1,635,2074328180,39,272.0,1,635,2074328180,39
5,320.0,1,464,-239306878,5,338.0,1,464,-239306878,5,271.0,1,464,-239306878,5,304.0,1,464,-239306878,5
6,312.0,1,292,1851745519,24,289.0,1,292,1851745519,24,311.0,1,292,1851745519,24,239.0,1,292,1851745519,24
7,267.0,1,585,2042792681,53,454.0,1,585,2042792681,53,311.0,1,585,2042792681,53,270.0,1,585,2042792681,53
8,321.0,1,525,-1316192121,27,265.0,1,525,-1316192121,27,437.0,1,525,-1316192121,27,269.0,1,525,-1316192121,27
9,669.0,1,242,-1009128636,17,319.0,1,242,-1009128636,17,669.0,1,242,-1009128636,17,669.0,1,242,-1009128636,17
10,261.0,1,198,-933204218,4,259.0,1,198,-933204218,4,261.0,1,198,-933204218,4,261.0,1,198,-933204218,4
11,321.0,1,288,-1470169128,3,272.0,1,288,-1470169128,3,321.0,1,288,-1470169128,3,321.0,1,288,-1470169128,3
12,275.0,1,388,1535399791,24,458.0,1,388,1535399791,24,260.0,1,388,1535399791,24,338.0,1,388,1535399791,24
13,439.0,1,326,841025542,33,1313.0,1,326,841025542,33,296.0,1,326,841025542,33,316.0,1,326,841025542,33
14,324.0,1,491,1692306992,5,310.0,1,491,1692306992,5,329.0,1,491,1692306992,5,399.0,1,491,1692306992,5
15,283.0,1,493,-1751426872,20,321.0,1,493,-1751426872,20,274.0,1,493,-1751426872,20,263.0,1,493,-1751426872,20
16,603.0,1,625,2119388504,32,1507.0,1,625,2119388504,32,279.0,1,625,2119388504,32,267.0,1,625,2119388504,32
17,316.0,1,469,830408894,19,395.0,1,469,830408894,19,446.0,1,469,830408894,19,308.0,1,469,830408894,19
