,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,283.0,8,800,454493730,1,547.0,8,800,926727176,1,492.0,8,800,-661972476,1,289.0,8,800,-1608423677,1
1,262.0,8,800,834418655,1,314.0,8,800,-1907437501,1,282.0,8,800,1389635036,1,278.0,8,800,-460750398,1
2,266.0,8,800,1743995103,1,298.0,8,800,299459188,1,346.0,8,800,-1383971134,1,262.0,8,800,172893287,1
3,321.0,8,800,-5658473,1,379.0,8,800,2005085420,1,888.0,8,800,1228141128,1,309.0,8,800,1629985751,1
4,254.0,8,800,-204904988,1,395.0,8,800,-1083459967,1,306.0,8,800,-691669203,1,305.0,8,800,2016779223,1
5,258.0,8,800,-702058851,1,320.0,8,800,-75947753,1,314.0,8,800,-438642022,1,651.0,8,800,-256405732,1
6,318.0,8,800,1964911890,1,325.0,8,800,2110821292,1,673.0,8,800,-1951876333,1,309.0,8,800,581314622,1
7,315.0,8,800,-1791282318,1,310.0,8,800,670685286,1,313.0,8,800,361799891,1,323.0,8,800,-1770102150,1
8,280.0,8,800,999568480,1,320.0,8,800,-1849137072,1,328.0,8,800,1771158117,1,260.0,8,800,-2076948530,1
9,284.0,8,800,-1035760804,1,320.0,8,800,1754649704,1,328.0,8,800,-1100570354,1,638.0,8,800,-274578101,1
10,210.0,8,800,1187497671,1,347.0,8,800,-2100402774,1,291.0,8,800,-2013481888,1,250.0,8,800,875025868,1
11,260.0,8,800,-335848343,1,305.0,8,800,-64596126,1,254.0,8,800,-1159954695,1,326.0,8,800,-157789269,1
12,308.0,8,800,-1985117753,1,1556.0,8,800,69122620,1,672.0,8,800,1879856462,1,311.0,8,800,1060042995,1
13,658.0,8,800,1285109852,1,321.0,8,800,585898106,1,529.0,8,800,-1526463295,1,317.0,8,800,1980983562,1
14,264.0,8,800,-343774558,1,294.0,8,800,16295759,1,259.0,8,800,618236446,1,471.0,8,800,-821019533,1
15,276.0,8,800,-694411871,1,302.0,8,800,1884563466,1,685.0,8,800,409023441,1,257.0,8,800,-1348723999,1
16,311.0,8,800,1030388229,1,333.0,8,800,685225740,1,302.0,8,800,2021697418,1,250.0,8,800,1123245599,1
17,234.0,8,800,316452999,1,319.0,8,800,1509213147,1,288.0,8,800,576491996,1,258.0,8,800,1769205391,1
18,271.0,8,800,34314738,1,597.0,8,800,-1192267942,1,257.0,8,800,1194247501,1,384.0,8,800,2011470693,1
19,252.0,8,800,-535149897,1,579.0,8,800,-432583939,1,326.0,8,800,-267312353,1,269.0,8,800,-879737159,1
20,289.0,8,800,-1601942990,1,275.0,8,800,-123788955,1,319.0,8,800,-654162325,1,337.0,8,800,-2145009261,1
21,626.0,8,800,-69737785,1,387.0,8,800,2015775698,1,335.0,8,800,-309437677,1,319.0,8,800,1317481726,1
22,312.0,8,800,-1591006041,1,289.0,8,800,2010405058,1,318.0,8,800,1317589284,1,321.0,8,800,-739065983,1
23,256.0,8,800,-70180519,1,373.0,8,800,-1654792891,1,321.0,8,800,1398093997,1,263.0,8,800,502260345,1
24,203.0,8,800,1559378151,1,859.0,8,800,1630748184,1,296.0,8,800,-234075420,1,659.0,8,800,44762507,1
25,680.0,8,800,-941567369,1,303.0,8,800,913269209,1,442.0,8,800,-1010746533,1,258.0,8,800,-212770565,1
26,652.0,8,800,-696531703,1,324.0,8,800,-249151017,1,280.0,8,800,406669276,1,248.0,8,800,291681107,1
27,766.0,8,800,-397072850,1,883.0,8,800,542043429,1,501.0,8,800,-1003783330,1,271.0,8,800,1803513778,1
28,266.0,8,800,-375839537,1,320.0,8,800,-1118670396,1,493.0,8,800,928032657,1,648.0,8,800,-1423173342,1
29,257.0,8,800,431409326,1,303.0,8,800,928945337,1,472.0,8,800,-979616867,1,649.0,8,800,-160573440,1
30,267.0,8,800,416111001,1,303.0,8,800,1600342853,1,286.0,8,800,-739583370,1,635.0,8,800,475336464,1
31,663.0,8,800,-1280525353,1,857.0,8,800,1359908481,1,923.0,8,800,1593505021,1,626.0,8,800,-1878152789,1
32,433.0,8,800,791263739,1,290.0,8,800,513996573,1,319.0,8,800,1869242667,1,671.0,8,800,271730189,1
33,254.0,8,800,-20145059,1,300.0,8,800,1632535145,1,302.0,8,800,-698167245,1,263.0,8,800,1907715445,1
34,257.0,8,800,-438664872,1,298.0,8,800,1470766420,1,393.0,8,800,1109111876,1,274.0,8,800,1483925313,1
35,435.0,8,800,-586289412,1,1293.0,8,800,-909786448,1,302.0,8,800,-137168220,1,295.0,8,800,-755126880,1
36,340.0,8,800,828895129,1,319.0,8,800,-892846155,1,234.0,8,800,96352677,1,224.0,8,800,1660367829,1
37,320.0,8,800,1314070750,1,312.0,8,800,-1390994921,1,304.0,8,800,-838341362,1,652.0,8,800,-1074814744,1
38,351.0,8,800,-1207665704,1,300.0,8,800,-1658220351,1,309.0,8,800,264437368,1,638.0,8,800,-610380445,1
39,672.0,8,800,-51767878,1,542.0,8,800,284166991,1,292.0,8,800,-2139291800,1,663.0,8,800,347272501,1
40,320.0,8,800,1066627170,1,313.0,8,800,-120909245,1,297.0,8,800,-97905187,1,252.0,8,800,-488432151,1
41,263.0,8,800,1771859276,1,371.0,8,800,1618430580,1,320.0,8,800,195073624,1,274.0,8,800,715541426,1
42,344.0,8,800,-1884716965,1,330.0,8,800,-503476181,1,270.0,8,800,-1446436046,1,287.0,8,800,820949697,1
43,323.0,8,800,794134900,1,652.0,8,800,-1774012069,1,601.0,8,800,1812497907,1,627.0,8,800,1199097940,1
44,315.0,8,800,-210387940,1,301.0,8,800,-1612252385,1,707.0,8,800,-2035969784,1,257.0,8,800,-608430803,1
45,268.0,8,800,-1661011392,1,307.0,8,800,-207419203,1,300.0,8,800,2004074862,1,284.0,8,800,804773504,1
46,370.0,8,800,296625861,1,316.0,8,800,-1512859646,1,289.0,8,800,1005026646,1,272.0,8,800,1981240703,1
47,259.0,8,800,-699419983,1,325.0,8,800,1209208610,1,806.0,8,800,197560717,1,256.0,8,800,369802618,1
48,253.0,8,800,-1929848965,1,299.0,8,800,1586390876,1,303.0,8,800,-1162805806,1,302.0,8,800,-33765236,1
49,371.0,8,800,-1465470933,1,1265.0,8,800,-1217766649,1,587.0,8,800,2059280693,1,257.0,8,800,-513122409,1
