,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,263.0,1,469,-1138542010,38,372.0,1,469,-1138542010,38,263.0,1,469,-1138542010,38,263.0,1,469,-1138542010,38
1,375.0,1,256,707450826,6,314.0,1,256,707450826,6,375.0,1,256,707450826,6,375.0,1,256,707450826,6
2,323.0,1,212,949383115,7,315.0,1,212,949383115,7,282.0,1,212,949383115,7,260.0,1,212,949383115,7
3,354.0,1,623,1906270047,63,341.0,1,623,1906270047,63,384.0,1,623,1906270047,63,269.0,1,623,1906270047,63
4,459.0,1,553,2064590753,12,290.0,1,553,2064590753,12,374.0,1,553,2064590753,12,317.0,1,553,2064590753,12
5,268.0,1,549,1163247668,33,396.0,1,549,1163247668,33,264.0,1,549,1163247668,33,304.0,1,549,1163247668,33
6,309.0,1,656,1150600556,60,513.0,1,656,1150600556,60,399.0,1,656,1150600556,60,270.0,1,656,1150600556,60
7,273.0,1,448,164647134,41,264.0,1,448,164647134,41,326.0,1,448,164647134,41,350.0,1,448,164647134,41
8,255.0,1,334,-51312394,27,316.0,1,334,-51312394,27,255.0,1,334,-51312394,27,255.0,1,334,-51312394,27
9,263.0,1,409,1109819148,29,315.0,1,409,1109819148,29,316.0,1,409,1109819148,29,321.0,1,409,1109819148,29
10,267.0,1,287,-1516723371,9,293.0,1,287,-1516723371,9,267.0,1,287,-1516723371,9,267.0,1,287,-1516723371,9
11,269.0,1,218,-1917387805,16,316.0,1,218,-1917387805,16,269.0,1,218,-1917387805,16,269.0,1,218,-1917387805,16
12,314.0,1,198,1043438031,18,253.0,1,198,1043438031,18,314.0,1,198,1043438031,18,314.0,1,198,1043438031,18
13,473.0,1,610,-365512656,55,345.0,1,610,-365512656,55,372.0,1,610,-365512656,55,333.0,1,610,-365512656,55
14,311.0,1,177,-29924077,2,258.0,1,177,-29924077,2,311.0,1,177,-29924077,2,311.0,1,177,-29924077,2
15,269.0,1,232,-1049844884,19,317.0,1,232,-1049844884,19,263.0,1,232,-1049844884,19,326.0,1,232,-1049844884,19
16,320.0,1,237,613894875,5,313.0,1,237,613894875,5,320.0,1,237,613894875,5,320.0,1,237,613894875,5
17,333.0,1,581,-1035054911,18,357.0,1,581,-1035054911,18,292.0,1,581,-1035054911,18,301.0,1,581,-1035054911,18
18,377.0,1,599,854186428,36,516.0,1,599,854186428,36,281.0,1,599,854186428,36,318.0,1,599,854186428,36
19,268.0,1,586,-321181916,47,388.0,1,586,-321181916,47,291.0,1,586,-321181916,47,390.0,1,586,-321181916,47
20,292.0,1,423,-1875293680,43,315.0,1,423,-1875293680,43,475.0,1,423,-1875293680,43,365.0,1,423,-1875293680,43
21,296.0,1,693,-806958989,42,458.0,1,693,-806958989,42,337.0,1,693,-806958989,42,389.0,1,693,-806958989,42
22,385.0,1,608,1248133188,49,273.0,1,608,1248133188,49,263.0,1,608,1248133188,49,343.0,1,608,1248133188,49
23,267.0,1,157,2136101527,11,379.0,1,157,2136101527,11,267.0,1,157,2136101527,11,267.0,1,157,2136101527,11
24,398.0,1,571,2051098508,52,550.0,1,571,2051098508,52,379.0,1,571,2051098508,52,280.0,1,571,2051098508,52
25,353.0,1,698,2082690072,70,479.0,1,698,2082690072,70,414.0,1,698,2082690072,70,302.0,1,698,2082690072,70
26,263.0,1,586,-792532471,24,322.0,1,586,-792532471,24,263.0,1,586,-792532471,24,366.0,1,586,-792532471,24
27,367.0,1,529,-740608148,27,500.0,1,529,-740608148,27,275.0,1,529,-740608148,27,366.0,1,529,-740608148,27
28,286.0,1,553,150420074,6,309.0,1,553,150420074,6,321.0,1,553,150420074,6,266.0,1,553,150420074,6
29,302.0,1,189,163428936,8,253.0,1,189,163428936,8,302.0,1,189,163428936,8,302.0,1,189,163428936,8
30,321.0,1,283,-1350301474,23,311.0,1,283,-1350301474,23,342.0,1,283,-1350301474,23,267.0,1,283,-1350301474,23
31,421.0,1,461,2097015303,28,379.0,1,461,2097015303,28,288.0,1,461,2097015303,28,282.0,1,461,2097015303,28
32,261.0,1,511,-1543487308,11,500.0,1,511,-1543487308,11,380.0,1,511,-1543487308,11,321.0,1,511,-1543487308,11
33,359.0,1,643,1806516371,33,320.0,1,643,1806516371,33,328.0,1,643,1806516371,33,306.0,1,643,1806516371,33
34,320.0,1,447,-1220030656,14,316.0,1,447,-1220030656,14,315.0,1,447,-1220030656,14,314.0,1,447,-1220030656,14
35,322.0,1,457,-571104190,42,499.0,1,457,-571104190,42,401.0,1,457,-571104190,42,474.0,1,457,-571104190,42
36,382.0,1,343,-1640358986,4,258.0,1,343,-1640358986,4,382.0,1,343,-1640358986,4,382.0,1,343,-1640358986,4
37,375.0,1,688,-925624645,14,446.0,1,688,-925624645,14,330.0,1,688,-925624645,14,271.0,1,688,-925624645,14
38,321.0,1,198,-884324347,20,373.0,1,198,-884324347,20,321.0,1,198,-884324347,20,321.0,1,198,-884324347,20
39,438.0,1,245,-1827060704,5,251.0,1,245,-1827060704,5,438.0,1,245,-1827060704,5,438.0,1,245,-1827060704,5
40,261.0,1,457,763050712,5,495.0,1,457,763050712,5,289.0,1,457,763050712,5,321.0,1,457,763050712,5
