,adaptive-support,adaptive-support_normal_staff,adaptive-support_passengers,adaptive-support_seed,adaptive-support_staff,no-support,no-support_normal_staff,no-support_passengers,no-support_seed,no-support_staff,passenger-support,passenger-support_normal_staff,passenger-support_passengers,passenger-support_seed,passenger-support_staff,staff-support,staff-support_normal_staff,staff-support_passengers,staff-support_seed,staff-support_staff
0,319.0,8,800,-830344679,1,260.0,8,800,1863809187,1,547.0,8,800,911977461,1,213.0,8,800,537950304,1
1,292.0,8,800,-2057043366,1,270.0,8,800,151732002,1,268.0,8,800,467303599,1,254.0,8,800,171411378,1
2,317.0,8,800,138245749,1,289.0,8,800,-1096349287,1,263.0,8,800,-1502137880,1,284.0,8,800,951710674,1
3,257.0,8,800,-130038416,1,497.0,8,800,259365380,1,220.0,8,800,-928728918,1,266.0,8,800,-843251742,1
4,339.0,8,800,153299658,1,496.0,8,800,-944019777,1,266.0,8,800,-1140591270,1,308.0,8,800,-590090437,1
5,409.0,8,800,90108178,1,279.0,8,800,-1503762280,1,314.0,8,800,-1059620978,1,315.0,8,800,-45056108,1
6,262.0,8,800,260297290,1,293.0,8,800,1851270706,1,358.0,8,800,119920484,1,561.0,8,800,1329039104,1
7,293.0,8,800,-1129874505,1,321.0,8,800,-747303509,1,263.0,8,800,-1222729988,1,202.0,8,800,-712329023,1
8,255.0,8,800,322739666,1,279.0,8,800,-1386481353,1,216.0,8,800,1737157048,1,533.0,8,800,1458313387,1
9,287.0,8,800,1480250662,1,501.0,8,800,-2030011593,1,219.0,8,800,-2089101174,1,252.0,8,800,-734787668,1
10,265.0,8,800,696685033,1,290.0,8,800,1828354351,1,316.0,8,800,1979771444,1,274.0,8,800,-395113709,1
11,389.0,8,800,1452697549,1,569.0,8,800,-816202382,1,250.0,8,800,-1727636771,1,540.0,8,800,186029662,1
12,261.0,8,800,-809811410,1,497.0,8,800,1264997486,1,256.0,8,800,575552136,1,572.0,8,800,1615744458,1
13,233.0,8,800,988920874,1,280.0,8,800,281543583,1,255.0,8,800,89598990,1,258.0,8,800,1840767941,1
14,313.0,8,800,147678543,1,818.0,8,800,-1626562565,1,250.0,8,800,1345730159,1,260.0,8,800,-1512102914,1
15,320.0,8,800,881519001,1,268.0,8,800,-1337235599,1,352.0,8,800,2128159374,1,322.0,8,800,1549637534,1
16,274.0,8,800,-1812344108,1,303.0,8,800,174460236,1,302.0,8,800,70413503,1,281.0,8,800,983935449,1
17,258.0,8,800,-1110188575,1,314.0,8,800,-93745766,1,260.0,8,800,-166462962,1,381.0,8,800,-1963709857,1
18,314.0,8,800,1770086449,1,371.0,8,800,1854104116,1,374.0,8,800,-1762302391,1,284.0,8,800,857701799,1
19,381.0,8,800,137596920,1,282.0,8,800,-1608678970,1,258.0,8,800,-21189742,1,328.0,8,800,-797796493,1
20,321.0,8,800,703264397,1,284.0,8,800,1092125976,1,267.0,8,800,-1070803372,1,495.0,8,800,1754800256,1
21,290.0,8,800,264109468,1,487.0,8,800,-961732791,1,292.0,8,800,1738557275,1,293.0,8,800,611066553,1
22,314.0,8,800,1481269241,1,289.0,8,800,1115207909,1,310.0,8,800,-153696256,1,320.0,8,800,-1161735485,1
23,691.0,8,800,1714307459,1,493.0,8,800,994982707,1,268.0,8,800,1337615247,1,275.0,8,800,-716093916,1
24,323.0,8,800,1180079970,1,307.0,8,800,1515720096,1,260.0,8,800,39847341,1,339.0,8,800,975457716,1
25,454.0,8,800,168803044,1,306.0,8,800,-899448262,1,287.0,8,800,-262156918,1,227.0,8,800,881425802,1
26,282.0,8,800,-89404701,1,491.0,8,800,-1617079059,1,254.0,8,800,1399214671,1,372.0,8,800,736414841,1
27,315.0,8,800,-1995204395,1,494.0,8,800,287356468,1,258.0,8,800,875186032,1,215.0,8,800,106988718,1
28,316.0,8,800,-1177131030,1,283.0,8,800,1646705986,1,261.0,8,800,11078896,1,223.0,8,800,2142472861,1
29,290.0,8,800,-1459783218,1,363.0,8,800,-1236592684,1,252.0,8,800,1795928676,1,221.0,8,800,-1758486836,1
30,322.0,8,800,-1892921346,1,403.0,8,800,521279104,1,264.0,8,800,-1958925355,1,266.0,8,800,-558347250,1
31,251.0,8,800,990330597,1,258.0,8,800,187654540,1,265.0,8,800,1008879007,1,283.0,8,800,326464988,1
