,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1870475040,341.0,7,0,333.0,11,7,261.0,10,0,379.0,12,0
1,-1869649593,301.0,15,0,260.0,8,1,255.0,8,0,218.0,8,1
2,243589403,292.0,16,0,269.0,12,3,298.0,12,0,303.0,12,3
3,363866292,282.0,12,0,318.0,11,0,318.0,11,0,318.0,11,0
4,959800568,261.0,9,0,225.0,8,2,252.0,9,0,353.0,12,2
5,1488296626,272.0,17,0,345.0,21,2,385.0,19,0,319.0,21,0
6,-112089948,270.0,11,0,275.0,19,3,214.0,19,0,359.0,20,1
7,-1396510084,259.0,12,0,328.0,14,2,487.0,14,0,283.0,14,2
8,-2146416776,261.0,10,0,259.0,19,1,268.0,21,0,321.0,21,2
9,-181610255,494.0,16,0,260.0,12,2,340.0,11,0,321.0,13,2
10,1719994828,268.0,12,0,381.0,8,2,264.0,7,0,255.0,7,2
11,1150286535,385.0,13,0,306.0,13,1,256.0,12,0,251.0,15,2
12,1700548452,258.0,13,0,262.0,16,1,287.0,15,0,321.0,15,1
13,-364430665,266.0,28,0,252.0,6,0,252.0,6,0,252.0,6,0
14,-1454330850,266.0,8,0,259.0,18,1,326.0,17,0,223.0,17,1
15,836905871,272.0,12,0,261.0,22,2,326.0,21,0,373.0,21,0
16,949636154,364.0,18,0,254.0,12,3,300.0,11,0,259.0,10,2
17,-1879068444,313.0,7,0,251.0,5,1,375.0,5,0,228.0,3,1
18,-367984281,268.0,12,0,255.0,16,2,302.0,16,0,279.0,22,1
19,-1401251575,317.0,12,0,260.0,17,2,295.0,16,0,470.0,17,2
20,1312087418,263.0,20,0,258.0,9,2,320.0,8,0,234.0,8,2
21,1178752254,277.0,14,0,299.0,16,3,248.0,18,0,313.0,18,4
22,1049718102,255.0,13,0,417.0,11,4,263.0,10,0,271.0,10,4
23,-1936231956,269.0,10,0,202.0,10,2,263.0,11,0,315.0,8,2
24,-919367437,292.0,14,0,242.0,10,1,285.0,9,0,210.0,13,1
25,-1959202125,262.0,10,0,298.0,12,1,294.0,10,0,341.0,14,2
26,2065103870,322.0,19,0,207.0,11,1,255.0,16,0,251.0,14,1
27,781374142,263.0,13,0,213.0,11,2,283.0,11,0,223.0,11,2
28,364805070,287.0,13,0,318.0,11,3,265.0,10,0,207.0,12,2
29,-1363516317,231.0,19,0,266.0,19,2,273.0,17,0,266.0,19,1
30,-2081013709,262.0,10,0,218.0,17,3,256.0,18,0,282.0,20,2
31,2102127988,346.0,11,0,347.0,18,1,276.0,20,0,318.0,18,1
32,-891080243,258.0,14,0,371.0,14,2,255.0,13,0,268.0,12,1
33,-253120954,494.0,10,0,254.0,12,2,260.0,14,0,259.0,14,2
34,-364264190,284.0,10,0,252.0,19,3,313.0,18,0,321.0,19,3
35,422191577,323.0,13,0,343.0,11,1,296.0,7,0,303.0,13,2
36,570557934,263.0,18,0,361.0,10,2,207.0,12,0,312.0,13,2
37,-82337187,285.0,12,0,273.0,17,0,273.0,17,0,273.0,17,0
38,1387802259,316.0,15,0,264.0,7,1,269.0,7,0,258.0,10,1
39,-1484428694,263.0,12,0,278.0,13,0,278.0,13,0,278.0,13,0
40,-928752337,268.0,10,0,347.0,8,1,262.0,8,0,262.0,8,0
41,-1060888035,331.0,9,0,280.0,12,3,313.0,12,0,257.0,12,3
42,-1257772201,435.0,15,0,271.0,12,2,267.0,15,0,258.0,12,0
43,1958831674,347.0,9,0,313.0,10,2,262.0,10,0,378.0,9,1
44,430859003,496.0,17,0,228.0,15,1,411.0,12,0,325.0,13,1
45,-1802648938,313.0,9,0,208.0,20,3,356.0,18,0,266.0,18,3
46,-1936281547,276.0,10,0,393.0,13,2,321.0,12,0,258.0,11,2
47,-1653451554,287.0,17,0,324.0,13,1,253.0,12,0,253.0,14,1
48,-1486900352,251.0,22,0,237.0,9,2,302.0,6,0,273.0,5,2
49,-2036771132,267.0,7,0,266.0,11,1,253.0,16,0,262.0,11,1
50,-489767065,271.0,10,0,276.0,19,3,498.0,12,0,342.0,16,1
51,-1008340444,375.0,18,0,256.0,14,2,281.0,12,0,276.0,16,1
52,-1687616777,254.0,10,0,290.0,12,1,294.0,13,0,316.0,12,1
53,-1323077745,255.0,8,0,264.0,16,3,290.0,17,0,260.0,16,3
54,-1727184397,319.0,18,0,329.0,19,2,281.0,18,0,368.0,12,2
55,446945712,265.0,13,0,277.0,23,2,255.0,22,0,261.0,23,1
56,-1986505779,261.0,19,0,265.0,7,0,265.0,7,0,265.0,7,0
57,-1150891233,264.0,6,0,348.0,18,2,253.0,18,0,315.0,20,2
58,-86263937,260.0,10,0,281.0,8,1,280.0,12,0,236.0,12,1
59,-597009590,285.0,7,0,346.0,9,4,255.0,6,0,256.0,8,0
60,889838889,278.0,16,0,418.0,10,2,316.0,14,0,295.0,12,1
61,-1527072043,288.0,15,0,255.0,19,1,259.0,22,0,262.0,21,1
62,749436138,265.0,8,0,267.0,12,3,310.0,11,0,331.0,13,1
63,-1316160194,394.0,7,0,258.0,19,2,206.0,19,0,287.0,17,2
64,-2114897925,257.0,14,0,255.0,16,1,261.0,14,0,216.0,16,2
65,-1441164066,263.0,18,0,261.0,37,0,261.0,37,0,261.0,37,0
66,-1245140466,276.0,29,0,317.0,7,3,276.0,5,0,334.0,9,1
67,365827818,324.0,13,0,263.0,11,4,271.0,10,0,213.0,12,2
68,-792777390,262.0,9,0,257.0,14,3,275.0,16,0,356.0,17,1
69,1214665152,260.0,14,0,281.0,11,2,251.0,11,0,293.0,11,2
70,-85562929,263.0,10,0,374.0,11,0,374.0,11,0,374.0,11,0
71,506760056,322.0,18,0,347.0,18,2,329.0,17,0,333.0,19,1
72,-970519184,518.0,9,0,261.0,13,3,270.0,15,0,219.0,13,2
73,746411323,503.0,15,0,359.0,12,0,359.0,12,0,359.0,12,0
74,-1851653343,300.0,15,0,304.0,15,3,336.0,13,0,317.0,14,2
75,61508444,256.0,17,0,259.0,5,1,428.0,5,0,492.0,6,1
76,2138389154,322.0,12,0,285.0,10,4,260.0,11,0,219.0,11,1
77,607493293,262.0,8,0,315.0,12,3,315.0,14,0,312.0,17,2
78,190465339,311.0,8,0,348.0,15,2,256.0,16,0,320.0,14,1
79,223009108,314.0,11,0,254.0,5,1,344.0,8,0,305.0,10,2
80,-1856196000,267.0,11,0,252.0,9,2,270.0,12,0,238.0,10,2
81,-2032816838,493.0,11,0,264.0,7,2,293.0,10,0,256.0,7,1
82,362456423,369.0,7,0,322.0,19,1,346.0,20,0,263.0,17,2
83,17640626,210.0,19,0,254.0,10,1,268.0,7,0,270.0,8,1
84,93802579,260.0,11,0,242.0,10,0,242.0,10,0,242.0,10,0
85,2137641299,323.0,10,0,281.0,14,2,322.0,15,0,316.0,16,2
86,616732586,279.0,12,0,316.0,17,5,217.0,13,0,260.0,19,2
