,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-474604198,432,26,260.0,13,0,258.0,13,1,258.0,17,0,313.0,16,3
1,-1587025421,432,26,490.0,10,0,374.0,12,4,259.0,12,0,255.0,12,4
2,311609032,432,26,302.0,21,0,265.0,20,4,231.0,19,0,327.0,20,4
3,-920791955,432,26,293.0,5,0,254.0,16,2,495.0,16,0,267.0,16,1
4,-1225842644,432,26,264.0,14,0,261.0,12,3,286.0,11,0,377.0,12,2
5,-1714392345,432,26,259.0,12,0,249.0,10,1,307.0,12,0,278.0,11,2
6,1435469941,432,26,332.0,8,0,255.0,11,1,271.0,11,0,223.0,12,1
7,296821477,432,26,264.0,10,0,377.0,11,1,213.0,12,0,211.0,10,1
8,-168004567,432,26,490.0,9,0,340.0,12,3,268.0,11,0,217.0,10,2
9,-811058255,432,26,266.0,13,0,319.0,16,2,264.0,14,0,257.0,15,2
10,1008240581,432,26,315.0,14,0,265.0,11,1,265.0,8,0,312.0,9,1
11,1106800917,432,26,236.0,17,0,270.0,13,1,255.0,16,0,214.0,17,1
12,-730504429,432,26,254.0,17,0,303.0,11,2,275.0,14,0,274.0,13,1
13,-311877193,432,26,288.0,17,0,427.0,13,0,427.0,13,0,427.0,13,0
14,698599205,432,26,291.0,12,0,252.0,12,1,324.0,9,0,321.0,9,1
15,-1532611742,432,26,265.0,11,0,464.0,17,2,281.0,15,0,269.0,18,1
16,-1521592755,432,26,261.0,8,0,256.0,8,1,243.0,9,0,255.0,8,1
17,2139876755,432,26,490.0,9,0,260.0,6,2,253.0,7,0,272.0,7,2
18,1422340258,432,26,256.0,8,0,275.0,14,0,275.0,14,0,275.0,14,0
19,1955106160,432,26,289.0,8,0,230.0,22,0,230.0,22,0,230.0,22,0
20,352795957,432,26,499.0,15,0,279.0,18,2,274.0,16,0,260.0,16,1
21,755325287,432,26,261.0,9,0,266.0,20,0,266.0,20,0,266.0,20,0
22,-1988280374,432,26,260.0,19,0,262.0,12,0,262.0,12,0,262.0,12,0
23,2047888154,432,26,353.0,7,0,374.0,21,0,374.0,21,0,374.0,21,0
24,1523673093,432,26,268.0,16,0,224.0,16,1,342.0,13,0,232.0,16,1
25,-2097690972,432,26,270.0,10,0,308.0,11,0,308.0,11,0,308.0,11,0
26,-1013765770,432,26,327.0,16,0,216.0,15,2,282.0,16,0,334.0,17,3
27,735188462,432,26,257.0,8,0,226.0,10,2,201.0,11,0,253.0,10,2
28,-1432393362,432,26,281.0,14,0,299.0,20,0,299.0,20,0,299.0,20,0
29,-1231244397,432,26,502.0,10,0,218.0,11,1,330.0,10,0,270.0,11,0
30,-1502737999,432,26,322.0,8,0,314.0,8,1,223.0,11,0,314.0,8,1
31,1169844661,432,26,262.0,5,0,278.0,15,0,278.0,15,0,278.0,15,0
32,803956084,432,26,262.0,13,0,253.0,13,3,269.0,15,0,259.0,15,3
33,-548765273,432,26,269.0,10,0,259.0,18,2,308.0,13,0,254.0,19,0
34,-1163776670,432,26,258.0,12,0,287.0,15,5,333.0,10,0,315.0,13,1
35,457051239,432,26,257.0,6,0,321.0,15,0,321.0,15,0,321.0,15,0
36,-184401316,432,26,261.0,10,0,322.0,11,1,325.0,12,0,267.0,9,1
37,210133946,432,26,263.0,5,0,321.0,10,1,241.0,10,0,319.0,10,0
38,1172954052,432,26,263.0,10,0,268.0,12,3,269.0,11,0,220.0,16,1
39,1851043391,432,26,267.0,8,0,266.0,18,2,225.0,17,0,258.0,19,1
40,921288813,432,26,281.0,12,0,509.0,11,1,274.0,8,0,312.0,11,1
41,1218471401,432,26,316.0,13,0,215.0,14,2,256.0,17,0,289.0,15,0
42,72758060,432,26,300.0,21,0,214.0,25,1,252.0,22,0,353.0,21,1
43,1985337787,432,26,267.0,14,0,268.0,6,1,320.0,6,0,318.0,7,0
44,1251395257,432,26,502.0,11,0,322.0,11,0,322.0,11,0,322.0,11,0
45,-341472887,432,26,292.0,18,0,357.0,13,1,288.0,11,0,217.0,11,1
46,-1426320638,432,26,264.0,11,0,259.0,12,4,319.0,11,0,258.0,14,4
47,921469470,432,26,335.0,7,0,433.0,18,3,271.0,20,0,278.0,18,0
48,-1753118222,432,26,255.0,14,0,320.0,17,3,224.0,12,0,314.0,15,1
49,105448477,432,26,374.0,22,0,257.0,15,2,379.0,13,0,258.0,14,1
