,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-2054480358,220,16,266.0,8,0,375.0,5,0,375.0,5,0,375.0,5,0
1,1336359677,397,24,394.0,16,0,257.0,13,2,258.0,13,0,265.0,12,2
2,-1663340769,523,32,374.0,13,0,276.0,21,5,257.0,17,0,290.0,17,1
3,1993876659,181,19,260.0,3,0,199.0,5,0,199.0,5,0,199.0,5,0
4,1915337534,516,21,501.0,15,0,386.0,13,1,342.0,14,0,314.0,14,2
5,37498280,440,36,545.0,4,0,264.0,14,4,495.0,12,0,328.0,12,3
6,-260397512,521,6,337.0,13,0,252.0,12,4,320.0,10,0,282.0,12,4
7,1905676918,343,31,283.0,7,0,316.0,18,0,316.0,18,0,316.0,18,0
8,-275330903,300,24,314.0,12,0,205.0,7,0,205.0,7,0,205.0,7,0
9,361242258,653,40,393.0,22,0,227.0,36,3,303.0,37,0,305.0,40,4
10,1070410797,413,13,271.0,13,0,262.0,13,1,339.0,13,0,214.0,12,1
11,803582705,666,60,341.0,16,0,324.0,17,3,259.0,18,0,334.0,18,3
12,-739089759,512,41,264.0,23,0,256.0,18,1,279.0,16,0,212.0,16,1
13,-315714405,232,3,261.0,12,0,251.0,6,0,251.0,6,0,251.0,6,0
14,1192609522,616,50,382.0,21,0,266.0,15,5,317.0,12,0,225.0,13,3
15,826992326,483,25,509.0,14,0,348.0,11,2,372.0,12,0,263.0,15,1
16,-2107643304,208,7,314.0,7,0,199.0,3,1,259.0,3,0,249.0,3,1
17,-1635473132,293,12,239.0,8,0,306.0,6,3,261.0,6,0,253.0,7,3
18,58939487,433,39,361.0,18,0,233.0,21,1,265.0,19,0,220.0,20,1
19,354348432,495,5,287.0,18,0,261.0,9,1,217.0,12,0,239.0,11,3
20,-1676406379,541,11,276.0,17,0,266.0,11,3,334.0,12,0,251.0,12,3
21,-1033636110,317,10,257.0,10,0,278.0,13,0,278.0,13,0,278.0,13,0
22,-1091731991,188,17,262.0,10,0,210.0,10,0,210.0,10,0,210.0,10,0
23,718592678,574,46,389.0,18,0,495.0,20,2,423.0,19,0,407.0,20,1
24,1854843794,687,69,314.0,23,0,396.0,17,8,309.0,20,0,270.0,18,6
25,-887157970,620,19,264.0,22,0,216.0,20,5,277.0,19,0,313.0,19,3
26,1082712765,438,22,341.0,6,0,258.0,11,2,264.0,11,0,253.0,12,2
27,-2024028090,342,4,495.0,6,0,285.0,8,1,290.0,8,0,281.0,10,1
28,1617364252,524,53,264.0,14,0,355.0,11,4,260.0,11,0,304.0,11,4
29,963055377,621,38,319.0,18,0,271.0,21,2,372.0,24,0,255.0,24,4
30,-342668802,463,42,262.0,11,0,256.0,14,2,371.0,16,0,256.0,10,1
31,1622488769,678,21,287.0,21,0,211.0,23,4,379.0,23,0,221.0,20,6
32,-161846977,151,13,256.0,2,0,302.0,3,0,302.0,3,0,302.0,3,0
33,240115037,593,6,274.0,15,0,262.0,14,1,267.0,14,0,316.0,10,1
34,174683712,552,12,270.0,17,0,312.0,17,2,252.0,18,0,253.0,20,1
35,1005945107,645,26,291.0,25,0,306.0,25,8,236.0,23,0,311.0,25,4
36,657007316,315,13,259.0,7,0,275.0,9,0,275.0,9,0,275.0,9,0
37,830466883,582,30,497.0,15,0,288.0,26,4,287.0,24,0,322.0,25,4
38,1019033162,540,27,271.0,9,0,327.0,16,6,274.0,16,0,267.0,15,8
39,-959365453,500,10,209.0,11,0,271.0,15,1,255.0,16,0,380.0,16,1
40,1010117352,567,12,374.0,13,0,257.0,12,5,310.0,15,0,223.0,9,4
41,-358160459,187,2,277.0,4,0,270.0,5,0,270.0,5,0,270.0,5,0
42,-1861898333,393,24,260.0,10,0,259.0,10,3,292.0,11,0,295.0,11,3
43,-1449997760,252,23,310.0,4,0,256.0,7,0,256.0,7,0,256.0,7,0
44,193435063,675,34,297.0,14,0,348.0,24,5,322.0,25,0,257.0,27,3
45,1414862663,218,3,263.0,9,0,251.0,4,0,251.0,4,0,251.0,4,0
46,137647536,680,34,272.0,12,0,260.0,22,7,376.0,24,0,257.0,19,6
47,-775013097,289,6,252.0,10,0,252.0,9,2,272.0,9,0,202.0,10,1
48,1199507922,151,5,265.0,5,0,313.0,6,0,313.0,6,0,313.0,6,0
49,1413266012,392,20,277.0,5,0,313.0,5,1,264.0,5,0,286.0,4,1
