,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1410457392,424,5,258.0,13,0,254.0,14,2,269.0,13,0,270.0,12,4
1,279433628,431,35,253.0,15,0,279.0,12,1,228.0,9,0,263.0,8,1
2,-1123464702,651,20,312.0,33,0,254.0,25,5,253.0,20,0,232.0,22,2
3,386106781,349,14,377.0,8,0,254.0,7,1,453.0,7,0,246.0,7,1
4,98119037,205,5,266.0,6,0,255.0,9,0,255.0,9,0,255.0,9,0
5,-1242595786,632,26,323.0,11,0,261.0,22,2,322.0,28,0,261.0,19,0
6,-1732096057,181,8,264.0,3,0,255.0,5,0,255.0,5,0,255.0,5,0
7,887009188,199,12,256.0,1,0,242.0,7,0,242.0,7,0,242.0,7,0
8,-1751987419,661,53,300.0,15,0,238.0,19,6,334.0,17,0,309.0,17,3
9,-244947861,456,10,259.0,24,0,372.0,16,0,372.0,16,0,372.0,16,0
10,586406091,365,30,269.0,18,0,258.0,11,0,258.0,11,0,258.0,11,0
11,380161991,550,50,496.0,10,0,253.0,10,3,347.0,9,0,429.0,11,3
12,-809609734,162,9,253.0,2,0,257.0,4,0,257.0,4,0,257.0,4,0
13,770200568,549,50,318.0,9,0,293.0,21,2,255.0,20,0,266.0,15,0
14,-995865409,239,24,199.0,1,0,262.0,8,0,262.0,8,0,262.0,8,0
15,65049661,172,14,327.0,5,0,254.0,3,1,252.0,4,0,254.0,2,1
16,1135292905,582,18,503.0,12,0,393.0,34,2,341.0,34,0,260.0,34,2
17,-1711081107,420,26,266.0,16,0,252.0,9,2,267.0,8,0,250.0,9,1
18,1267016061,499,20,276.0,8,0,271.0,9,4,315.0,8,0,335.0,6,1
19,-333173037,471,19,386.0,9,0,260.0,13,1,275.0,12,0,265.0,16,0
20,-2134609009,414,9,306.0,10,0,254.0,13,0,254.0,13,0,254.0,13,0
21,-1571871644,572,12,264.0,26,0,290.0,14,4,285.0,15,0,297.0,14,2
22,-1637699070,252,23,262.0,8,0,204.0,8,1,260.0,11,0,256.0,9,1
23,1228373512,254,8,256.0,9,0,258.0,4,0,258.0,4,0,258.0,4,0
24,249470458,282,9,260.0,2,0,270.0,10,0,270.0,10,0,270.0,10,0
25,-1838667017,390,39,262.0,15,0,389.0,11,0,389.0,11,0,389.0,11,0
26,1708281293,695,56,333.0,17,0,290.0,15,9,269.0,12,0,268.0,16,2
27,1256495171,686,62,264.0,16,0,406.0,18,6,277.0,21,0,374.0,21,3
28,423966853,296,24,275.0,15,0,321.0,14,0,321.0,14,0,321.0,14,0
29,-1366814523,580,47,265.0,18,0,257.0,19,6,276.0,14,0,314.0,14,4
30,-48967098,393,12,290.0,9,0,268.0,10,1,207.0,9,0,254.0,9,1
31,528543103,644,39,318.0,19,0,273.0,29,3,253.0,21,0,288.0,25,3
32,777185898,470,29,286.0,16,0,258.0,11,3,286.0,9,0,314.0,9,2
33,-1186680656,156,4,256.0,7,0,256.0,5,0,256.0,5,0,256.0,5,0
34,1933513647,232,7,310.0,8,0,259.0,10,0,259.0,10,0,259.0,10,0
35,2114532788,288,3,248.0,7,0,255.0,18,0,255.0,18,0,255.0,18,0
36,-419357162,611,55,389.0,11,0,262.0,22,3,291.0,21,0,277.0,20,2
37,-755521013,512,21,372.0,8,0,259.0,8,4,328.0,8,0,350.0,8,2
38,-635555151,155,16,263.0,7,0,302.0,4,1,203.0,3,0,266.0,3,1
39,-363651442,295,15,434.0,7,0,283.0,2,0,283.0,2,0,283.0,2,0
40,1224564210,692,7,270.0,15,0,318.0,16,1,243.0,18,0,261.0,16,4
41,-1886820902,210,21,253.0,7,0,255.0,6,1,263.0,5,0,232.0,5,1
42,-1728193988,421,22,265.0,11,0,233.0,16,2,336.0,13,0,324.0,14,1
43,1070992199,332,14,251.0,11,0,315.0,11,0,315.0,11,0,315.0,11,0
44,-1662525893,543,33,283.0,9,0,373.0,13,2,258.0,16,0,320.0,15,2
45,-2046601123,491,10,314.0,15,0,309.0,11,2,309.0,14,0,260.0,17,3
46,-1877309216,592,6,266.0,8,0,292.0,10,5,265.0,9,0,231.0,11,4
47,712917283,407,17,522.0,18,0,219.0,15,1,270.0,16,0,377.0,17,1
48,66365561,168,6,250.0,5,0,225.0,3,1,252.0,4,0,217.0,3,1
49,-540276233,195,16,195.0,10,0,275.0,2,0,275.0,2,0,275.0,2,0
