,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1313153037,264.0,14,0,258.0,8,0,258.0,8,0,258.0,8,0
1,548318369,502.0,19,0,301.0,10,5,293.0,11,0,259.0,9,3
2,775254753,267.0,16,0,371.0,8,2,259.0,7,0,294.0,9,2
3,1259565740,257.0,21,0,257.0,10,3,282.0,9,0,379.0,12,2
4,1004222205,376.0,12,0,315.0,11,4,213.0,12,0,356.0,14,3
5,-646050905,262.0,23,0,265.0,10,2,265.0,8,0,326.0,10,1
6,-1812156400,273.0,16,0,213.0,10,2,235.0,9,0,253.0,9,3
7,-713221455,254.0,14,0,357.0,20,1,230.0,20,0,318.0,21,2
8,-1772681526,501.0,13,0,349.0,13,2,316.0,14,0,355.0,17,1
9,-1915023272,379.0,14,0,302.0,14,1,257.0,14,0,303.0,16,1
10,885864394,254.0,11,0,362.0,17,0,362.0,17,0,362.0,17,0
11,1056103203,315.0,11,0,268.0,12,3,267.0,10,0,278.0,9,1
12,-1299068923,297.0,12,0,276.0,9,1,316.0,9,0,257.0,10,1
13,1869462712,497.0,30,0,280.0,12,2,279.0,13,0,255.0,14,2
14,231293504,269.0,11,0,326.0,15,3,414.0,16,0,362.0,14,3
15,1147541724,256.0,17,0,259.0,15,6,451.0,15,0,314.0,15,4
16,710003238,250.0,18,0,315.0,9,1,276.0,8,0,255.0,7,1
17,1730492061,274.0,14,0,342.0,13,4,314.0,12,0,287.0,12,2
18,454368420,260.0,16,0,264.0,10,1,253.0,11,0,274.0,9,1
19,1210704012,379.0,14,0,314.0,3,3,332.0,2,0,227.0,4,3
20,283549655,322.0,30,0,247.0,13,2,372.0,10,0,313.0,14,0
21,-1299606325,565.0,13,0,257.0,15,2,243.0,14,0,332.0,14,2
22,-626465633,266.0,9,0,340.0,12,2,265.0,12,0,264.0,15,1
23,268796798,263.0,19,0,325.0,13,3,307.0,12,0,316.0,14,2
24,1721764141,269.0,16,0,374.0,20,3,403.0,19,0,397.0,19,3
25,-474173793,731.0,13,0,282.0,11,4,307.0,12,0,347.0,11,2
26,204641042,265.0,19,0,262.0,11,0,262.0,11,0,262.0,11,0
27,1152041842,254.0,13,0,327.0,9,4,268.0,10,0,285.0,12,2
28,-1635189213,503.0,10,0,312.0,9,2,278.0,11,0,271.0,8,0
29,811371477,308.0,15,0,384.0,17,1,381.0,18,0,255.0,16,1
30,-2032080401,269.0,14,0,315.0,19,0,315.0,19,0,315.0,19,0
31,-804443082,383.0,19,0,259.0,11,2,317.0,10,0,327.0,11,1
32,-1699994379,267.0,7,0,381.0,9,1,340.0,7,0,280.0,7,1
33,-813504487,313.0,35,0,315.0,9,1,221.0,10,0,255.0,9,2
34,-878849356,300.0,6,0,272.0,15,3,311.0,20,0,277.0,14,3
35,465570201,273.0,13,0,347.0,10,1,258.0,10,0,258.0,10,3
36,-1459355394,267.0,10,0,247.0,13,2,266.0,13,0,373.0,15,2
37,1552501398,264.0,15,0,299.0,10,2,239.0,12,0,268.0,10,1
38,1432981318,264.0,20,0,273.0,13,2,261.0,15,0,266.0,12,2
39,-917619627,386.0,11,0,264.0,13,2,293.0,14,0,313.0,13,2
40,1629465620,251.0,15,0,265.0,9,1,263.0,11,0,269.0,9,1
41,-574883118,554.0,12,0,323.0,16,3,260.0,18,0,352.0,14,0
42,1617006764,258.0,12,0,340.0,19,2,351.0,13,0,271.0,22,1
43,-847705879,258.0,27,0,375.0,15,3,257.0,22,0,256.0,17,2
44,217724014,270.0,25,0,344.0,26,3,336.0,22,0,273.0,29,2
45,-449191392,285.0,12,0,278.0,14,3,268.0,14,0,294.0,16,3
46,-1878702863,280.0,11,0,267.0,15,1,356.0,11,0,285.0,14,1
47,-612205529,268.0,9,0,303.0,12,2,300.0,8,0,232.0,9,2
48,-1947464956,497.0,20,0,317.0,14,0,317.0,14,0,317.0,14,0
49,570034160,290.0,16,0,315.0,13,1,258.0,15,0,266.0,15,1
