,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,130610201,462,28,292.0,9,0,257.0,21,3,288.0,25,0,320.0,24,2
1,1882137936,462,28,256.0,11,0,389.0,14,0,389.0,14,0,389.0,14,0
2,1740482030,462,28,257.0,15,0,260.0,9,1,256.0,10,0,384.0,12,4
3,-666625777,462,28,279.0,17,0,228.0,9,1,316.0,8,0,258.0,9,2
4,-1194453078,462,28,267.0,20,0,300.0,17,0,300.0,17,0,300.0,17,0
5,1663673230,462,28,318.0,9,0,276.0,7,1,265.0,8,0,235.0,8,3
6,724390689,462,28,496.0,8,0,315.0,15,1,255.0,15,0,265.0,15,2
7,-135184405,462,28,454.0,15,0,255.0,13,2,256.0,16,0,319.0,13,1
8,-696008360,462,28,282.0,16,0,265.0,11,4,380.0,14,0,212.0,12,3
9,657231404,462,28,503.0,16,0,258.0,18,2,316.0,17,0,601.0,17,2
10,2131926002,462,28,497.0,18,0,353.0,18,1,333.0,17,0,328.0,18,1
11,2081973560,462,28,287.0,12,0,298.0,3,0,298.0,3,0,298.0,3,0
12,1149144881,462,28,258.0,10,0,325.0,5,1,274.0,5,0,257.0,4,1
13,-824450914,462,28,257.0,21,0,273.0,22,2,258.0,16,0,270.0,22,1
14,-121262122,462,28,373.0,14,0,230.0,16,1,276.0,16,0,400.0,14,2
15,-1358686899,462,28,254.0,16,0,280.0,15,1,272.0,15,0,262.0,16,1
16,-812263630,462,28,265.0,14,0,268.0,23,0,268.0,23,0,268.0,23,0
17,-1604581114,462,28,260.0,12,0,261.0,16,2,316.0,17,0,253.0,16,3
18,1465108048,462,28,370.0,12,0,300.0,10,0,300.0,10,0,300.0,10,0
19,1441473279,462,28,263.0,13,0,303.0,11,2,258.0,13,0,253.0,11,2
20,1593190937,462,28,274.0,7,0,280.0,18,2,270.0,18,0,216.0,17,3
21,-1754778695,462,28,348.0,5,0,314.0,5,1,258.0,6,0,341.0,7,1
22,271703168,462,28,263.0,16,0,287.0,15,1,267.0,18,0,381.0,14,1
23,-999455963,462,28,380.0,14,0,254.0,7,3,258.0,7,0,315.0,7,3
24,1757472815,462,28,495.0,16,0,306.0,11,2,315.0,10,0,257.0,11,1
25,330335966,462,28,259.0,20,0,261.0,14,2,297.0,14,0,276.0,15,3
26,2134920606,462,28,371.0,10,0,277.0,14,2,224.0,17,0,276.0,16,2
27,-131250284,462,28,258.0,14,0,323.0,18,1,337.0,16,0,254.0,17,1
28,1681028293,462,28,298.0,6,0,360.0,16,3,432.0,15,0,259.0,19,1
29,1535088212,462,28,254.0,11,0,302.0,13,2,252.0,13,0,261.0,13,2
30,859281717,462,28,344.0,15,0,255.0,19,2,261.0,19,0,259.0,19,2
31,-212184296,462,28,534.0,13,0,321.0,11,1,276.0,11,0,207.0,10,2
32,1408002347,462,28,277.0,17,0,279.0,16,6,218.0,15,0,218.0,18,4
33,-1379959693,462,28,387.0,6,0,231.0,16,3,267.0,17,0,258.0,15,2
34,1527012840,462,28,264.0,12,0,313.0,17,1,322.0,19,0,255.0,17,2
35,-1353614508,462,28,264.0,17,0,318.0,11,3,310.0,13,0,229.0,13,3
36,-60013685,462,28,263.0,4,0,242.0,11,1,256.0,11,0,331.0,8,1
37,1451285,462,28,257.0,20,0,243.0,21,1,537.0,25,0,239.0,22,1
38,-515997979,462,28,270.0,17,0,471.0,23,1,276.0,24,0,273.0,24,1
39,1687268724,462,28,268.0,9,0,269.0,10,2,229.0,11,0,269.0,9,2
40,-1603368437,462,28,260.0,17,0,401.0,21,3,265.0,18,0,262.0,14,2
41,-1954712047,462,28,279.0,13,0,325.0,14,0,325.0,14,0,325.0,14,0
42,1202737829,462,28,339.0,16,0,287.0,15,1,281.0,16,0,265.0,16,3
43,-995471906,462,28,262.0,15,0,253.0,11,1,351.0,9,0,269.0,10,2
44,-214508790,462,28,255.0,13,0,343.0,15,4,231.0,14,0,239.0,16,4
45,270374507,462,28,279.0,9,0,253.0,15,2,339.0,13,0,224.0,13,5
46,1817904899,462,28,272.0,15,0,326.0,16,3,260.0,15,0,279.0,15,3
47,1700875713,462,28,267.0,16,0,272.0,8,5,259.0,9,0,418.0,8,4
48,400144828,462,28,433.0,17,0,261.0,18,2,263.0,19,0,260.0,22,2
49,-1345679060,462,28,259.0,23,0,259.0,16,0,259.0,16,0,259.0,16,0
