,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,1168887201,462,28,258.0,16,0,258.0,12,3,332.0,11,0,227.0,11,1
1,1511681004,462,28,264.0,12,0,317.0,10,2,753.0,10,0,249.0,8,3
2,-1617188413,462,28,434.0,10,0,215.0,11,1,427.0,10,0,220.0,11,1
3,-932470990,462,28,434.0,6,0,260.0,25,2,385.0,19,0,246.0,25,2
4,-1078952251,462,28,265.0,17,0,316.0,18,2,497.0,17,0,264.0,17,2
5,-1605207630,462,28,257.0,13,0,321.0,13,2,268.0,13,0,256.0,13,2
6,-1207307878,462,28,389.0,15,0,257.0,8,0,257.0,8,0,257.0,8,0
7,-1898810820,462,28,265.0,18,0,384.0,20,2,519.0,18,0,293.0,19,1
8,146304578,462,28,247.0,7,0,227.0,12,1,256.0,13,0,257.0,14,1
9,1747980988,462,28,259.0,14,0,236.0,11,2,211.0,10,0,299.0,11,3
10,1649328891,462,28,261.0,9,0,314.0,8,1,269.0,11,0,275.0,9,3
11,1032354518,462,28,258.0,11,0,251.0,17,1,267.0,17,0,250.0,17,1
12,1558718195,462,28,259.0,6,0,272.0,13,1,257.0,14,0,251.0,14,2
13,-904404405,462,28,291.0,15,0,257.0,26,2,207.0,24,0,258.0,24,2
14,79795492,462,28,384.0,9,0,310.0,11,3,312.0,8,0,259.0,10,2
15,-1215286266,462,28,319.0,10,0,209.0,18,2,298.0,19,0,355.0,19,1
16,1055174660,462,28,260.0,11,0,208.0,15,5,250.0,16,0,321.0,17,4
17,-1237176167,462,28,260.0,14,0,218.0,12,1,289.0,14,0,267.0,14,1
18,-104457701,462,28,272.0,12,0,340.0,12,2,257.0,11,0,213.0,12,2
19,1215358465,462,28,281.0,9,0,389.0,15,1,205.0,15,0,300.0,16,1
20,-91431677,462,28,498.0,13,0,275.0,11,1,260.0,13,0,622.0,15,1
21,121748227,462,28,254.0,13,0,330.0,12,0,330.0,12,0,330.0,12,0
22,1663120960,462,28,502.0,11,0,328.0,11,0,328.0,11,0,328.0,11,0
23,438413623,462,28,313.0,12,0,325.0,8,4,233.0,6,0,259.0,6,4
24,-1995508793,462,28,263.0,9,0,377.0,11,3,259.0,12,0,268.0,11,2
25,351469615,462,28,378.0,8,0,380.0,22,2,326.0,17,0,235.0,16,2
26,51093736,462,28,315.0,17,0,353.0,15,3,266.0,14,0,266.0,15,4
27,-325447663,462,28,271.0,16,0,373.0,20,4,253.0,18,0,262.0,19,2
28,813553752,462,28,362.0,13,0,224.0,20,1,281.0,19,0,259.0,16,1
29,291075148,462,28,253.0,12,0,628.0,21,3,257.0,20,0,293.0,20,3
30,929766333,462,28,263.0,13,0,345.0,16,1,296.0,15,0,257.0,14,1
31,1740496144,462,28,347.0,13,0,246.0,12,1,268.0,11,0,356.0,13,1
32,1096257854,462,28,321.0,16,0,269.0,12,2,238.0,12,0,333.0,11,2
33,-277221001,462,28,289.0,11,0,266.0,10,0,266.0,10,0,266.0,10,0
34,420615211,462,28,313.0,12,0,257.0,12,1,336.0,11,0,325.0,12,2
35,1035061845,462,28,284.0,10,0,295.0,13,3,259.0,14,0,258.0,13,2
36,-115616212,462,28,283.0,8,0,328.0,18,2,274.0,14,0,335.0,18,3
37,676932226,462,28,274.0,11,0,298.0,11,2,432.0,11,0,300.0,9,1
38,-1161799784,462,28,299.0,12,0,265.0,23,2,287.0,22,0,285.0,25,3
39,1899347874,462,28,270.0,11,0,304.0,9,1,277.0,12,0,245.0,10,1
40,2099262467,462,28,260.0,8,0,241.0,11,3,261.0,12,0,336.0,11,3
41,-145258241,462,28,296.0,25,0,277.0,16,3,319.0,17,0,202.0,14,4
42,-1511003546,462,28,497.0,11,0,220.0,8,1,349.0,12,0,289.0,10,2
43,-168896004,462,28,271.0,7,0,247.0,18,2,385.0,14,0,330.0,9,2
44,168185222,462,28,378.0,18,0,317.0,14,1,270.0,12,0,398.0,14,1
45,-1649210546,462,28,265.0,15,0,261.0,16,4,257.0,17,0,311.0,16,3
46,879418000,462,28,436.0,13,0,265.0,13,0,265.0,13,0,265.0,13,0
47,952687041,462,28,328.0,16,0,215.0,12,3,372.0,13,0,254.0,13,3
48,761102805,462,28,270.0,18,0,208.0,8,2,276.0,8,0,261.0,11,1
49,100947772,462,28,374.0,11,0,333.0,11,2,293.0,11,0,269.0,13,1
