,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-200405496,462,28,511.0,12,0,280.0,8,0,280.0,8,0,280.0,8,0
1,-416406690,462,28,253.0,11,0,303.0,15,3,302.0,14,0,327.0,15,3
2,355530937,462,28,504.0,14,0,375.0,16,0,375.0,16,0,375.0,16,0
3,1387848357,462,28,273.0,10,0,220.0,24,1,264.0,20,0,321.0,20,1
4,1495918926,462,28,507.0,11,0,255.0,13,1,265.0,15,0,313.0,15,1
5,1778392408,462,28,265.0,17,0,276.0,11,2,378.0,11,0,642.0,9,3
6,293710541,462,28,318.0,15,0,287.0,26,0,287.0,26,0,287.0,26,0
7,2053030967,462,28,436.0,14,0,255.0,15,2,293.0,16,0,323.0,18,1
8,-1090321869,462,28,374.0,11,0,323.0,38,0,323.0,38,0,323.0,38,0
9,-1507435344,462,28,267.0,13,0,443.0,11,2,260.0,8,0,294.0,10,1
10,-405999782,462,28,260.0,7,0,269.0,18,1,304.0,19,0,257.0,18,1
11,-143456577,462,28,281.0,16,0,280.0,8,2,503.0,8,0,250.0,12,2
12,682906162,462,28,250.0,10,0,267.0,16,3,255.0,16,0,273.0,21,3
13,-1658017275,462,28,312.0,13,0,211.0,14,2,263.0,12,0,319.0,11,2
14,-613953579,462,28,262.0,16,0,257.0,14,2,258.0,12,0,318.0,13,4
15,-1310788669,462,28,437.0,12,0,205.0,12,1,284.0,12,0,216.0,13,7
16,369964739,462,28,225.0,10,0,260.0,15,2,314.0,12,0,320.0,12,2
17,-933506978,462,28,273.0,14,0,255.0,16,3,262.0,20,0,256.0,17,2
18,-360424748,462,28,287.0,8,0,373.0,12,2,370.0,12,0,342.0,14,1
19,916400189,462,28,265.0,15,0,260.0,14,4,399.0,12,0,295.0,12,3
20,-117372916,462,28,257.0,19,0,266.0,9,4,209.0,9,0,343.0,7,3
21,-177507994,462,28,387.0,15,0,271.0,16,0,271.0,16,0,271.0,16,0
22,426747328,462,28,493.0,22,0,382.0,15,1,345.0,16,0,260.0,18,1
23,-690078680,462,28,258.0,11,0,313.0,12,2,263.0,9,0,260.0,12,1
24,1874372670,462,28,497.0,13,0,257.0,8,2,260.0,10,0,241.0,8,5
25,1020924368,462,28,317.0,12,0,252.0,13,4,270.0,13,0,260.0,13,4
26,1756014321,462,28,263.0,6,0,381.0,11,4,313.0,12,0,312.0,11,4
27,651792431,462,28,262.0,13,0,263.0,13,4,256.0,11,0,288.0,12,1
28,-576654335,462,28,264.0,22,0,371.0,6,3,232.0,6,0,355.0,8,5
29,-1266136650,462,28,272.0,11,0,258.0,8,1,211.0,10,0,257.0,10,1
30,-1957592385,462,28,253.0,4,0,389.0,12,1,343.0,12,0,289.0,11,1
31,-502601720,462,28,493.0,12,0,311.0,5,3,238.0,5,0,450.0,8,1
32,604335887,462,28,274.0,10,0,259.0,15,1,215.0,16,0,245.0,19,1
33,1164621194,462,28,301.0,8,0,329.0,13,1,259.0,14,0,319.0,13,1
34,2136677145,462,28,238.0,21,0,266.0,9,5,278.0,9,0,221.0,8,5
35,1329997497,462,28,505.0,8,0,275.0,15,1,266.0,18,0,374.0,18,1
36,-1511209303,462,28,259.0,14,0,267.0,11,2,257.0,10,0,260.0,10,3
37,-1071098583,462,28,267.0,17,0,237.0,18,3,306.0,15,0,311.0,15,3
38,1385653929,462,28,311.0,15,0,253.0,16,3,302.0,17,0,258.0,17,2
39,1437164802,462,28,261.0,25,0,235.0,15,0,235.0,15,0,235.0,15,0
40,1807261460,462,28,213.0,24,0,263.0,9,2,260.0,8,0,257.0,8,2
41,-1844518059,462,28,261.0,9,0,253.0,8,2,260.0,12,0,307.0,13,2
42,1130402542,462,28,355.0,12,0,319.0,10,2,413.0,10,0,213.0,9,1
43,1066692703,462,28,264.0,9,0,257.0,15,1,258.0,15,0,264.0,13,1
44,-271983996,462,28,259.0,18,0,297.0,16,5,316.0,14,0,335.0,15,5
45,-395276003,462,28,258.0,11,0,215.0,20,1,255.0,20,0,278.0,24,3
46,543562053,462,28,270.0,8,0,217.0,14,4,252.0,14,0,336.0,13,2
47,230487773,462,28,319.0,19,0,393.0,7,3,333.0,8,0,312.0,6,1
48,1751224082,462,28,252.0,22,0,289.0,8,1,274.0,9,0,253.0,9,1
49,1429251986,462,28,266.0,21,0,217.0,18,2,266.0,18,0,287.0,18,2
