,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-1468845523,462,28,256.0,11,0,224.0,8,1,270.0,7,0,,11,4
1,-1887984190,462,28,329.0,12,0,260.0,11,2,258.0,12,0,267.0,11,1
2,-1913077931,462,28,258.0,12,0,258.0,10,3,260.0,8,0,224.0,9,3
3,-1935459318,462,28,501.0,12,0,260.0,17,1,270.0,15,0,294.0,21,2
4,394222455,462,28,263.0,12,0,287.0,8,3,285.0,8,0,312.0,6,3
5,-769848377,462,28,313.0,13,0,267.0,18,0,267.0,18,0,267.0,18,0
6,-1800348909,462,28,254.0,15,0,226.0,20,5,290.0,17,0,260.0,16,2
7,-55866019,462,28,287.0,13,0,225.0,12,2,333.0,10,0,348.0,11,1
8,-1401803067,462,28,318.0,12,0,381.0,16,4,256.0,14,0,313.0,16,3
9,-44736868,462,28,353.0,17,0,318.0,14,2,254.0,11,0,273.0,16,2
10,-1444394416,462,28,265.0,8,0,260.0,7,1,279.0,9,0,276.0,9,1
11,1633409248,462,28,258.0,9,0,266.0,7,0,266.0,7,0,266.0,7,0
12,-611831747,462,28,266.0,15,0,225.0,18,0,225.0,18,0,225.0,18,0
13,-2142493250,462,28,259.0,11,0,348.0,18,1,312.0,17,0,259.0,18,1
14,989503918,462,28,315.0,22,0,324.0,15,2,282.0,18,0,316.0,20,1
15,762156616,462,28,268.0,13,0,344.0,12,3,254.0,11,0,254.0,14,1
16,-888494841,462,28,274.0,9,0,236.0,17,1,252.0,12,0,320.0,19,0
17,-1576402659,462,28,325.0,13,0,227.0,8,2,269.0,11,0,261.0,9,2
18,-410652292,462,28,263.0,12,0,221.0,14,1,347.0,15,0,367.0,14,2
19,783822449,462,28,275.0,12,0,221.0,12,2,261.0,12,0,268.0,13,2
20,1134212042,462,28,256.0,12,0,245.0,12,2,253.0,11,0,297.0,10,2
21,-450133052,462,28,258.0,15,0,255.0,11,4,224.0,8,0,251.0,9,1
22,373610649,462,28,428.0,10,0,232.0,17,2,237.0,15,0,256.0,14,2
23,-337869593,462,28,261.0,18,0,258.0,11,3,277.0,9,0,318.0,11,2
24,-731230534,462,28,293.0,19,0,335.0,6,3,252.0,7,0,258.0,6,2
25,1820811984,462,28,257.0,27,0,273.0,15,3,318.0,15,0,273.0,12,3
26,-310336892,462,28,336.0,19,0,254.0,11,1,257.0,12,0,271.0,10,1
27,-597066800,462,28,299.0,20,0,370.0,15,1,257.0,16,0,228.0,16,1
28,-1277653577,462,28,263.0,17,0,311.0,18,0,311.0,18,0,311.0,18,0
29,-984946019,462,28,265.0,19,0,335.0,11,3,268.0,11,0,277.0,11,3
30,-1394404538,462,28,261.0,12,0,267.0,17,1,273.0,14,0,292.0,16,1
31,402757937,462,28,252.0,13,0,326.0,25,1,273.0,27,0,574.0,25,1
32,-350991276,462,28,252.0,12,0,246.0,16,2,277.0,13,0,258.0,15,2
33,-2127060556,462,28,317.0,7,0,259.0,8,1,254.0,9,0,259.0,8,0
34,1415125819,462,28,262.0,21,0,217.0,7,2,281.0,9,0,266.0,8,1
35,-520117708,462,28,508.0,10,0,259.0,19,0,259.0,19,0,259.0,19,0
36,-1186090576,462,28,265.0,20,0,325.0,11,1,320.0,9,0,289.0,10,2
37,-1056724721,462,28,260.0,12,0,345.0,21,2,289.0,14,0,357.0,15,2
38,1926129809,462,28,260.0,12,0,348.0,17,2,256.0,17,0,297.0,16,1
39,302828261,462,28,384.0,11,0,253.0,12,3,352.0,15,0,257.0,13,2
40,2064298014,462,28,254.0,6,0,260.0,13,3,264.0,15,0,224.0,14,2
41,-157719022,462,28,262.0,6,0,264.0,8,1,254.0,12,0,282.0,9,1
42,-1363971047,462,28,261.0,20,0,382.0,20,2,298.0,17,0,375.0,16,3
43,1490697888,462,28,317.0,20,0,335.0,14,2,261.0,18,0,263.0,17,1
44,-1560859312,462,28,329.0,9,0,280.0,11,3,271.0,14,0,291.0,14,1
45,325289823,462,28,261.0,12,0,221.0,13,2,267.0,12,0,257.0,13,1
46,-1948472506,462,28,321.0,9,0,263.0,11,0,263.0,11,0,263.0,11,0
47,-485731615,462,28,507.0,9,0,277.0,7,3,271.0,6,0,314.0,6,2
48,-1436134967,462,28,278.0,15,0,285.0,22,0,285.0,22,0,285.0,22,0
49,-1530265677,462,28,318.0,13,0,320.0,12,1,747.0,13,0,299.0,12,2
