,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-239057996,462,28,379.0,17,0,319.0,10,2,270.0,10,0,302.0,11,2
1,1104244726,462,28,501.0,13,0,430.0,15,1,308.0,12,0,258.0,13,1
2,-558192810,462,28,255.0,13,0,308.0,11,1,260.0,11,0,266.0,11,1
3,2099782328,462,28,303.0,23,0,209.0,13,5,258.0,12,0,219.0,13,5
4,58339632,462,28,491.0,10,0,264.0,15,1,272.0,14,0,217.0,16,1
5,19929166,462,28,292.0,15,0,437.0,13,2,223.0,12,0,257.0,11,1
6,1881329077,462,28,272.0,8,0,320.0,9,2,259.0,13,0,352.0,10,3
7,-1854125359,462,28,265.0,12,0,285.0,15,1,314.0,14,0,311.0,17,2
8,-715327156,462,28,270.0,14,0,322.0,11,1,339.0,9,0,292.0,9,1
9,1812829269,462,28,290.0,11,0,286.0,24,2,263.0,22,0,267.0,23,2
10,-1274410939,462,28,270.0,11,0,260.0,8,4,262.0,8,0,314.0,9,2
11,-1936837612,462,28,330.0,7,0,259.0,12,3,287.0,15,0,311.0,13,3
12,1344430999,462,28,260.0,12,0,396.0,16,1,265.0,18,0,255.0,17,1
13,-876047731,462,28,314.0,10,0,252.0,16,1,258.0,17,0,268.0,19,2
14,1959618991,462,28,257.0,13,0,263.0,9,1,289.0,9,0,213.0,11,1
15,-1209815760,462,28,262.0,9,0,281.0,12,1,263.0,13,0,270.0,12,1
16,-1098445075,462,28,272.0,16,0,293.0,17,1,285.0,19,0,260.0,17,1
17,-867843717,462,28,254.0,18,0,267.0,16,2,394.0,15,0,208.0,16,2
18,-1105605504,462,28,262.0,9,0,261.0,16,1,319.0,17,0,286.0,15,3
19,-596361858,462,28,340.0,17,0,271.0,13,2,264.0,14,0,211.0,15,2
20,-635379181,462,28,269.0,17,0,267.0,19,2,372.0,18,0,208.0,18,2
21,-1717604123,462,28,341.0,20,0,321.0,14,2,263.0,14,0,228.0,16,1
22,-851075357,462,28,268.0,16,0,267.0,15,2,273.0,15,0,320.0,13,1
23,-1265336928,462,28,224.0,15,0,358.0,11,2,275.0,11,0,255.0,12,2
24,-1099686698,462,28,254.0,17,0,260.0,16,2,314.0,15,0,260.0,17,1
25,-664821843,462,28,273.0,13,0,315.0,21,0,315.0,21,0,315.0,21,0
26,231467454,462,28,334.0,7,0,228.0,16,1,262.0,14,0,276.0,13,1
27,-2020277625,462,28,316.0,16,0,341.0,23,0,341.0,23,0,341.0,23,0
28,447668288,462,28,277.0,17,0,256.0,12,1,263.0,13,0,306.0,11,1
29,-1265706182,462,28,257.0,9,0,213.0,21,1,267.0,20,0,285.0,25,2
30,-1995704432,462,28,318.0,6,0,262.0,15,1,226.0,11,0,256.0,11,1
31,730785694,462,28,261.0,13,0,285.0,23,1,268.0,18,0,256.0,23,3
32,1786280931,462,28,258.0,17,0,264.0,15,2,333.0,13,0,262.0,13,1
33,350382996,462,28,286.0,21,0,219.0,13,2,256.0,15,0,255.0,13,2
34,772571306,462,28,304.0,16,0,238.0,12,2,310.0,12,0,226.0,13,1
35,-591333585,462,28,270.0,8,0,245.0,15,2,262.0,14,0,326.0,18,1
36,-1101882207,462,28,496.0,12,0,269.0,14,2,310.0,13,0,295.0,13,2
37,906777389,462,28,250.0,15,0,259.0,21,1,336.0,17,0,289.0,25,1
38,-1626476004,462,28,270.0,10,0,296.0,16,1,256.0,20,0,254.0,18,1
39,-1926462744,462,28,281.0,17,0,259.0,14,0,259.0,14,0,259.0,14,0
40,1936361964,462,28,503.0,18,0,280.0,8,1,265.0,9,0,275.0,8,2
41,671777705,462,28,281.0,9,0,289.0,9,2,417.0,7,0,298.0,8,1
42,2008105037,462,28,305.0,20,0,365.0,24,1,281.0,26,0,292.0,24,1
43,2141581084,462,28,256.0,11,0,267.0,26,1,263.0,26,0,317.0,25,1
44,863900972,462,28,258.0,8,0,277.0,11,1,260.0,9,0,295.0,12,1
45,1627948345,462,28,317.0,17,0,254.0,21,3,249.0,17,0,257.0,20,5
46,-1011057968,462,28,259.0,9,0,223.0,14,4,263.0,15,0,253.0,15,3
47,1278954372,462,28,267.0,22,0,257.0,9,2,259.0,9,0,259.0,10,4
48,708767033,462,28,269.0,10,0,211.0,14,2,278.0,18,0,259.0,14,3
49,690305322,462,28,384.0,7,0,270.0,14,2,274.0,17,0,259.0,14,1
