,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,-370234155,551,50,258.0,30,0,277.0,8,8,370.0,6,0,285.0,7,3
1,1384556724,568,12,265.0,20,0,260.0,7,3,381.0,6,0,271.0,8,2
2,1185615012,287,21,279.0,7,0,225.0,4,2,283.0,7,0,259.0,6,2
3,10033780,687,55,344.0,33,0,319.0,22,8,269.0,23,0,271.0,25,3
4,1769361679,444,18,257.0,15,0,310.0,17,2,377.0,16,0,261.0,16,2
5,377583251,215,13,253.0,5,0,217.0,8,1,250.0,5,0,259.0,9,1
6,2019730149,317,4,254.0,11,0,250.0,7,0,250.0,7,0,250.0,7,0
7,-351736578,178,11,240.0,0,0,321.0,3,0,321.0,3,0,321.0,3,0
8,108043610,603,49,266.0,22,0,271.0,13,1,260.0,15,0,306.0,12,5
9,-164006094,298,18,225.0,15,0,328.0,14,0,328.0,14,0,328.0,14,0
10,-389064269,318,20,253.0,12,0,258.0,8,0,258.0,8,0,258.0,8,0
11,1436633551,413,17,265.0,19,0,435.0,10,3,495.0,8,0,260.0,9,3
12,328451596,164,10,314.0,5,0,208.0,3,0,208.0,3,0,208.0,3,0
13,912976379,638,13,334.0,32,0,301.0,12,4,338.0,14,0,379.0,12,4
14,-1365170761,343,4,270.0,5,0,322.0,13,2,252.0,14,0,285.0,13,2
15,-1749208545,502,36,265.0,18,0,446.0,23,1,279.0,18,0,317.0,18,1
16,922705881,156,5,282.0,3,0,304.0,5,0,304.0,5,0,304.0,5,0
17,-1276756050,275,6,258.0,7,0,295.0,6,1,351.0,6,0,320.0,7,1
18,1385198369,643,7,493.0,16,0,282.0,13,5,295.0,17,0,276.0,14,2
19,-1051038563,279,28,250.0,12,0,297.0,8,0,297.0,8,0,297.0,8,0
20,797802279,213,22,255.0,10,0,277.0,6,0,277.0,6,0,277.0,6,0
21,1881424507,695,49,263.0,30,0,254.0,16,13,235.0,14,0,327.0,14,10
22,-1073350181,215,7,317.0,13,0,210.0,9,1,213.0,7,0,220.0,6,1
23,1841379340,627,7,271.0,19,0,342.0,13,3,401.0,13,0,256.0,14,3
24,1916363503,455,41,268.0,15,0,314.0,8,0,314.0,8,0,314.0,8,0
25,954877074,401,25,260.0,8,0,216.0,8,1,332.0,9,0,319.0,9,1
26,100514032,289,9,507.0,2,0,269.0,7,0,269.0,7,0,269.0,7,0
27,2145379459,363,26,264.0,12,0,262.0,12,3,276.0,15,0,268.0,12,2
28,-2530758,640,64,348.0,27,0,314.0,18,7,261.0,20,0,207.0,19,5
29,-615150107,420,42,294.0,19,0,278.0,10,0,278.0,10,0,278.0,10,0
30,1797300861,561,6,505.0,14,0,284.0,16,3,272.0,15,0,313.0,17,5
31,-38358204,307,25,284.0,6,0,300.0,9,0,300.0,9,0,300.0,9,0
32,314013366,594,18,270.0,12,0,255.0,20,1,274.0,19,0,290.0,20,1
33,-1432669321,337,34,338.0,10,0,294.0,8,0,294.0,8,0,294.0,8,0
34,1921438119,288,26,313.0,15,0,259.0,6,0,259.0,6,0,259.0,6,0
35,-1595862939,258,26,329.0,9,0,318.0,5,0,318.0,5,0,318.0,5,0
36,-800638221,304,28,249.0,9,0,338.0,11,0,338.0,11,0,338.0,11,0
37,-1265560476,396,36,366.0,7,0,338.0,8,2,349.0,8,0,265.0,9,1
38,-130373109,261,27,312.0,5,0,255.0,5,1,320.0,8,0,290.0,7,1
39,1041206854,309,22,314.0,12,0,241.0,7,0,241.0,7,0,241.0,7,0
40,-1893348922,464,14,298.0,14,0,305.0,11,2,258.0,11,0,253.0,11,2
41,-809367731,519,42,264.0,14,0,322.0,15,1,363.0,16,0,409.0,16,2
42,-532919837,645,26,268.0,20,0,265.0,19,4,258.0,16,0,323.0,17,4
43,-418271401,463,10,305.0,13,0,222.0,19,3,258.0,20,0,317.0,17,2
44,-1438370398,541,28,504.0,19,0,319.0,16,6,252.0,19,0,257.0,19,4
45,77982954,226,10,252.0,11,0,217.0,3,0,217.0,3,0,217.0,3,0
46,23584271,275,6,258.0,12,0,264.0,13,0,264.0,13,0,264.0,13,0
47,1658148054,346,4,305.0,4,0,259.0,12,3,444.0,11,0,371.0,12,3
48,-639252908,327,33,283.0,6,0,257.0,7,0,257.0,7,0,257.0,7,0
49,-23067897,631,45,316.0,12,0,276.0,22,8,274.0,32,0,349.0,24,3
