,random_seed,random_pass,random_staff,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
0,2115774714,293,3,313.0,6,0,305.0,5,0,305.0,5,0,305.0,5,0
1,286140024,564,34,339.0,16,0,286.0,14,4,260.0,16,0,339.0,16,3
2,866802453,538,6,265.0,18,0,261.0,14,2,273.0,12,0,200.0,15,0
3,2132735591,558,23,262.0,13,0,318.0,10,10,314.0,12,0,311.0,12,4
4,378775112,306,16,494.0,9,0,259.0,20,0,259.0,20,0,259.0,20,0
5,-1117474810,596,24,265.0,15,0,257.0,11,2,320.0,11,0,346.0,11,1
6,-951892115,499,15,313.0,20,0,318.0,15,6,433.0,14,0,285.0,14,3
7,-1171982672,523,42,251.0,24,0,395.0,17,1,281.0,18,0,315.0,20,1
8,344507204,700,63,305.0,11,0,283.0,21,9,273.0,19,0,319.0,20,9
9,-939238720,488,44,269.0,14,0,262.0,17,1,282.0,15,0,229.0,17,0
10,429355117,155,5,193.0,5,0,271.0,2,0,271.0,2,0,271.0,2,0
11,-1465670213,254,21,221.0,8,0,273.0,6,0,273.0,6,0,273.0,6,0
12,-992124233,616,37,256.0,14,0,317.0,20,4,279.0,17,0,274.0,19,4
13,-703235641,490,5,285.0,9,0,264.0,14,2,215.0,15,0,253.0,19,1
14,1386833718,504,11,266.0,13,0,255.0,9,4,332.0,8,0,272.0,7,1
15,-1565017574,671,68,493.0,22,0,258.0,17,3,289.0,17,0,323.0,17,3
16,355619383,161,4,207.0,5,0,230.0,3,0,230.0,3,0,230.0,3,0
17,-1855123667,365,11,254.0,13,0,354.0,16,1,237.0,14,0,378.0,14,1
18,-205171381,638,26,269.0,20,0,322.0,28,6,254.0,31,0,258.0,30,3
19,1405340902,681,62,262.0,33,0,331.0,18,6,371.0,19,0,263.0,18,6
20,288077058,562,51,267.0,12,0,324.0,15,3,284.0,15,0,252.0,16,3
21,1903104156,164,17,235.0,2,0,254.0,5,0,254.0,5,0,254.0,5,0
22,698533632,184,17,268.0,4,0,265.0,2,0,265.0,2,0,265.0,2,0
23,2124386230,618,44,734.0,21,0,251.0,20,4,342.0,17,0,275.0,20,3
24,-2079190086,364,30,279.0,15,0,261.0,17,0,261.0,17,0,261.0,17,0
25,791298714,264,16,266.0,6,0,249.0,5,0,249.0,5,0,249.0,5,0
26,1011168844,260,21,264.0,4,0,369.0,13,0,369.0,13,0,369.0,13,0
27,1797777437,528,48,492.0,20,0,254.0,10,6,320.0,17,0,266.0,14,2
28,-1471651687,293,12,214.0,12,0,360.0,6,0,360.0,6,0,360.0,6,0
29,-2101599866,388,16,315.0,12,0,318.0,10,0,318.0,10,0,318.0,10,0
30,-1953799884,461,37,258.0,36,0,260.0,19,3,344.0,19,0,270.0,22,2
31,1151520870,452,23,208.0,14,0,294.0,18,4,281.0,15,0,482.0,18,4
32,818558586,684,42,286.0,20,0,284.0,15,7,435.0,23,0,333.0,22,3
33,-1098374359,214,7,260.0,5,0,311.0,5,0,311.0,5,0,311.0,5,0
34,1592904042,659,40,492.0,20,0,333.0,12,9,355.0,13,0,218.0,14,9
35,832433999,245,25,258.0,7,0,277.0,14,0,277.0,14,0,277.0,14,0
36,-1733878895,565,40,321.0,15,0,256.0,11,1,263.0,12,0,233.0,11,2
37,1116804664,151,2,260.0,5,0,207.0,6,0,207.0,6,0,207.0,6,0
38,-2011963909,253,3,433.0,5,0,354.0,5,0,354.0,5,0,354.0,5,0
39,-997623564,536,54,263.0,20,0,258.0,9,3,252.0,12,0,322.0,11,3
40,-984329663,586,6,267.0,8,0,260.0,14,5,239.0,15,0,218.0,16,3
41,933531324,600,60,490.0,10,0,328.0,14,1,287.0,10,0,267.0,13,1
42,1441904754,650,52,518.0,20,0,239.0,25,1,236.0,33,0,216.0,32,1
43,1050050827,561,57,375.0,13,0,322.0,29,4,273.0,26,0,264.0,23,1
44,2120345947,435,40,342.0,14,0,375.0,12,1,314.0,11,0,266.0,8,3
45,-553780170,497,45,266.0,19,0,263.0,9,1,339.0,9,0,273.0,10,2
46,15411069,326,27,276.0,4,0,257.0,8,0,257.0,8,0,257.0,8,0
47,1825256099,520,42,320.0,13,0,366.0,11,2,318.0,12,0,359.0,12,1
48,-1265299004,435,40,269.0,10,0,300.0,10,1,231.0,11,0,265.0,10,1
49,1582361161,360,33,337.0,16,0,261.0,8,1,319.0,10,0,314.0,9,1
